"Georgia Institute Of Technology","Aerospace Engineering","PhD (F19)","Accepted"," E-mail","26 Mar 2019","  3.98","159","163","4.50","","A","26 Mar 2019",""
"California Institute Of Technology","Aerospace Engineering","PhD (F19)","Rejected"," E-mail","25 Mar 2019","  3.98","159","163","4.50","","A","25 Mar 2019",""
"Georgia Institute Of Technology","Aerospace Engineering","Masters (F19)","Rejected"," E-mail","25 Mar 2019","","","","","","I","25 Mar 2019","Well, long shot. All the best for those who got it !"
"Georgia Institute Of Technology","Aerospace Engineering","PhD (F19)","Other"," Other","25 Mar 2019","","","","","","A","25 Mar 2019","Has anyone admitted into the PhD program been notified about funding? My acceptance letter indicated I was being considered for a graduate assistantship but I have not received anything yet."
"Georgia Institute Of Technology","Aerospace Engineering","PhD (F19)","Rejected"," E-mail","25 Mar 2019","  3.53","153","169","3.00","","I","25 Mar 2019",""
"California Institute Of Technology","Aerospace Engineering","PhD (F19)","Rejected"," Phone","19 Mar 2019","","","","","","I","23 Mar 2019","Called the GALCIT options manager and was told that admits had already been contacted earlier and that if I haven't already heard back then I probably haven't been accepted. Too bad! All the best to the entering class!"
"Purdue University - West Lafayette","Aerospace Engineering","Masters (F19)","Accepted"," E-mail","23 Mar 2019","","","","","","U","23 Mar 2019",""
"Georgia Institute Of Technology","Aerospace Engineering","Masters (F19)","Rejected"," E-mail","22 Mar 2019","","","","","","I","23 Mar 2019",""
"University Of Southern California","Aerospace Engineering/Engineering Management","Masters (F19)","Accepted"," E-mail","21 Mar 2019","  3.76","161","162","4.00","","A","22 Mar 2019",""
"Virginia Tech","Aerospace Engineering","Masters (F19)","Rejected"," E-mail","21 Mar 2019","","","","","","I","21 Mar 2019","They Accepted me on 8-9 March then rejected me on 22nd March. Didn't expect this from them."
"University Of Toronto","Aerospace Engineering","Masters (F19)","Accepted"," E-mail","20 Mar 2019","","","","","","I","19 Mar 2019","UTIAS. MEng. Accepted."
"Virginia Tech","Aerospace Engineering","Masters (F19)","Accepted"," E-mail","14 Mar 2019","","","","","","","16 Mar 2019","No funding."
"University Of Californa, Los Angeles (UCLA)","Mechanical And Aerospace Engineering","PhD (F19)","Accepted"," Website","16 Mar 2019","","","","","","I","16 Mar 2019","Notified by Graduate Division, no information on funding or adviser. Trying hard to make it available with RA position!"
"University Of Washington","Aerospace Engineering","PhD (F19)","Accepted"," E-mail","16 Mar 2019","","","","","","I","15 Mar 2019","Wow"
"Virginia Tech","Aerospace Engineering","PhD (F19)","Accepted"," E-mail","14 Mar 2019","  3.53","153","169","3.00","","I","14 Mar 2019","No funding has been awarded yet. They told me that a few GTA/GRA positions may became available at some point in the
semester and would be offered on a competitive basis."
"University Of Michigan","Aerospace Engineering","Masters (F19)","Other"," Other","13 Mar 2019","","","","","","A","13 Mar 2019","For MSE applicants, not MEng, when can we expect to hear back?"
"California Institute Of Technology","Mechanical And Aerospace Engineering","PhD (F19)","Other"," POST","13 Mar 2019","","","","","","I","13 Mar 2019","To the 2nd post, when did you get the passport upload notification? I got the same on 26th Feb 2019."
"Iowa State University","Aerospace Engineering","PhD (F19)","Rejected"," E-mail","13 Mar 2019","","","","","","I","13 Mar 2019",""
"UC San Diego (UCSD)","Mechanical And Aerospace Engineering","Masters (F19)","Accepted"," E-mail","12 Mar 2019","","","","","","I","12 Mar 2019","nominated on February 7th and accepted on March 12th"
"Georgia Institute Of Technology (GaTech)","Aerospace Engineering","PhD (S19)","Accepted"," E-mail","12 Mar 2019","","","","","","I","12 Mar 2019","Accepted without any financial aid. Because of the lack of financial aid I will most probably decline the offer! It was my second top choice. :("
"Caltech","Aerospace Engineering","Masters (F19)","Other"," Other","12 Mar 2019","","","","","","U","12 Mar 2019","No news till the date, on portal status is ""Submitted"", the time is passing very fast either way decision really clear the cloud and go ahead to accept offer received."
"University Of Illinois - Urbana Champaign UIUC","Aerospace Engineering","Masters (F19)","Accepted"," E-mail","11 Mar 2019","","","","","","I","11 Mar 2019","Notified through the department via email. Told to contact advisors to find funding."
"University Of California, Los Angeles (UCLA)","Mechanical And Aerospace Engineering","PhD (F19)","Other"," Other","11 Mar 2019","","","","","","O","11 Mar 2019","TTPB: Glad I'm not the only one who thought that.  When I asked about an update on my admissions decision in person (like they said we could) I was given the runaround."
"UC San Diego (UCSD)","Mechanical And Aerospace Engineering","PhD (F19)","Other"," Other","11 Mar 2019","","","","","","I","11 Mar 2019","TTPB who had an interview for the Ph.D. program and received no news(or any other applicant of the Ph.D. program). Did you get any news about your application?"
"University Of Washington","Aerospace Engineering","Masters (F19)","Accepted"," E-mail","8 Mar 2019","","","","","","A","11 Mar 2019",""
"Purdue University - West Lafayette","Aerospace Engineering","Masters (F19)","Accepted"," E-mail","26 Feb 2019","","","","","","A","11 Mar 2019",""
"University Of Texas At Austin","Aerospace Engineering","PhD (F19)","Accepted"," E-mail","8 Mar 2019","","","","","","I","11 Mar 2019",""
"University Of Southern California","Aerospace Engineering","Masters (F19)","Accepted"," Website","9 Mar 2019","  3.77","147","169","3.00","","","9 Mar 2019","Emailed to check the update. Applied to both MS and PhD. Waiting for PhD update."
"University Of Washington","Aerospace Engineering","Masters (F19)","Rejected"," E-mail","8 Mar 2019","","","","","","","9 Mar 2019",""
"University Of Washington","Aerospace Engineering","Masters (F19)","Rejected"," E-mail","8 Mar 2019","","","","","","A","9 Mar 2019",""
"University Of Colorado, Boulder","Aerospace Engineering Sciences","PhD (F19)","Accepted"," Website","7 Mar 2019","  3.92","164","163","6.00","","A","9 Mar 2019","Email to check my application status online. Very happy about this one - offer from my top choice POI. Kind of can't believe I got it. Probably going to accept."
"University Of California, Los Angeles","Mechanical And Aerospace Engineering","PhD (F19)","Accepted"," Website","9 Mar 2019","  3.92","164","163","6.00","","A","9 Mar 2019","Received an email to check the portal late last night. No funding information provided."
"SUNY University At Buffalo","Mechanical And Aerospace Engineering","PhD (F19)","Other"," Other","9 Mar 2019","","","","","","I","9 Mar 2019","My application has been under committee review since 01/22/19, still no word! I'm kinda anxious/worried.. Does anyone know how long application review in this department takes?"
"University Of Illinois Urbana Champaign","Aerospace Engineering","PhD (F19)","Accepted"," E-mail","8 Mar 2019","","","","","","I","8 Mar 2019","Am in touch with potential advisors."
"California Institute Of Technology (Caltech)","Aerospace Engineering (GALCIT)","PhD (F19)","Other"," Other","9 Mar 2019","","","","","","","8 Mar 2019","Any news from aerospace department (GALCIT)?"
"University Of Illinois","Aerospace Engineering","PhD (F18)","Accepted"," E-mail","8 Mar 2019","  3.90","156","163","5.00","","I","8 Mar 2019","Notified through the department via email. Told to contact advisors to find funding."
"Cornell (Ithaca)","Mechanical And Aerospace Engineering","PhD (F19)","Rejected"," E-mail","8 Feb 2019","","","","","","I","8 Mar 2019",""
"University Of Californa, Los Angeles (UCLA)","Mechanical And Aerospace Engineering","PhD (F19)","Other"," Other","7 Mar 2019","","","","","","","7 Mar 2019","Yes, I was invited to the open house tomorrow"
"University Of Californa, Los Angeles (UCLA)","Mechanical And Aerospace Engineering (MAE)","PhD (F19)","Other"," E-mail","7 Mar 2019","  3.91","155","168","3.00","","U","7 Mar 2019","To the posters below received Ph.D. offers to MAE at UCLA, congratulations! Have you been invited to the Open House event earlier?"
"TU Delft, Netherlands","Aerospace Engineering","Other (F19)","Other"," Other","7 Mar 2019","","","","","","O","6 Mar 2019","On the website, it says all Justus & Lousia van Effen excellence scholarships have been awarded."
"University Of Illinois At Urbana Champaign (UIUC)","Aerospace Engineering","PhD (F19)","Accepted"," E-mail","5 Mar 2019","","","","","","U","6 Mar 2019","also got information on funding to follow and was suggested to reach out to faculty."
"Georgia Institute Of Technology","Aerospace Engineering","PhD (F19)","Accepted"," E-mail","5 Mar 2019","  3.92","162","165","4.00","","A","6 Mar 2019","Undergrad from UT Austin, co-op with large aerospace corporation, research experience in multiple research labs, and strong LORs. No information on funding yet (research area: controls)."
"University Of Illinois At Urbana Champaign (UIUC)","Aerospace Engineering","PhD (F19)","Accepted"," E-mail","5 Mar 2019","  3.50","162","162","4.50","","I","6 Mar 2019","Information on funding to follow, suggested to also reach out to faculty."
"Univeristy Of Illinois, Urbana Champaign (UIUC)","Aerospace Engineering","PhD (F19)","Accepted"," E-mail","5 Mar 2019"," ","153","170","3.50","","I","6 Mar 2019","3 years acadamic research experience at graduate level, 2 years work experience in a leading space company, 9 publications (conferences and  journal)"
"University Of Californa, Los Angeles (UCLA)","Aerospace Engineering","Masters (F19)","Accepted"," Website","5 Mar 2019","","","","","","","5 Mar 2019",""
"University Of Illinois At Urbana Champaign (UIUC)","Aerospace Engineering","PhD (F19)","Accepted"," E-mail","5 Mar 2019","  3.85","153","169","3.00","","I","5 Mar 2019","3 years of research experience, published a journal paper and conference papers, solid LoRs"
"University Of Californa, Los Angeles (UCLA)","Mechanical And Aerospace Engineering","PhD (F19)","Accepted"," Website","5 Mar 2019","","","","","","","5 Mar 2019","Checked the portal"
"Rensselaer Polytechnic Institute","Aerospace Engineering","PhD (F19)","Other"," Other","5 Mar 2019","  3.79","165","168","5.50","","A","5 Mar 2019","TTPB: Which of those programs are you going to choose? Are you waiting to hear back from anywhere else? What is your area of interest at RPI?"
"Rensselaer Polytechnic Institute","Aerospace Engineering","PhD (F19)","Accepted"," E-mail","29 Jan 2019","  3.86","161","167","4.50","","U","5 Mar 2019","Received the funding offer after a week."
"University Of Illinois","Aerospace Engineering","PhD (F19)","Rejected"," E-mail","5 Mar 2019","  3.86","161","167","4.50","","U","5 Mar 2019","Generic rejection email. Applied for post-Master's PhD"
"Virginia Tech","Aerospace Engineering","PhD (F19)","Accepted"," E-mail","5 Mar 2019","  3.86","161","167","4.50","","U","5 Mar 2019","Accepted with funding. Applied for post-Master's PhD."
"University Of Illinois, Urbana-Champaign","Aerospace Engineering","Masters (F19)","Other"," E-mail","5 Mar 2019","","","","","","","5 Mar 2019","To the poster of whom admitted to UIUC MS in Aerospace, did they say anything about thesis or non-thesis? And did they say anything about finding advisors?"
"TU Delft, Netherlands","Aerospace Engineering","Masters (F19)","Accepted"," E-mail","5 Mar 2019","","","","","","U","5 Mar 2019","No info on scholarship"
"Purdue University","Aerospace Engineering","Masters (F19)","Accepted"," E-mail","4 Mar 2019","","","","","","","4 Mar 2019",""
"Georgia Institute Of Technology","Aerospace Engineering","PhD (F19)","Other"," Other","5 Mar 2019","","","","","","O","4 Mar 2019","I know I saw some people were admitted but it seems like it wasn't enough to say the admission window is over (and it seems like gatech trickles out decisions over a long period of time); did anyone who are applying to a fluids/propulsion/combustion related get admitted or hear anything from them?"
"University Of Illinois At Urbana Champaign","Aerospace Engineering","PhD (F19)","Accepted"," E-mail","4 Mar 2019","","","","","","I","4 Mar 2019",""
"Massachusetts Institute Of Technology (MIT)","Aerospace Engineering","Masters (F19)","Wait listed"," E-mail","1 Mar 2019","  3.65","161","167","5.50","","A","4 Mar 2019","3 summer internships, 2 shorter research experiences, good club experiences, undergrad at top 20 school in US"
"University Of Michigan","Aerospace Engineering","Masters (F19)","Accepted"," E-mail","4 Mar 2019","","","","","","A","4 Mar 2019","Did not get admitted to PhD but was offered Masters admission. Still, very pleased."
"Massachusetts Institute Of Technology (MIT)","Aerospace Engineering","Masters (F19)","Wait listed"," E-mail","1 Mar 2019","","","","","","A","2 Mar 2019","Put on waitlist with ~40 people"
"Massachusetts Institute Of Technology (MIT)","Aerospace Engineering","Masters (F19)","Rejected"," E-mail","1 Mar 2019","  3.85","149","170","4.50","","I","2 Mar 2019","Yeah. This sucks."
"Stanford University","Aerospace Engineering","Masters (F19)","Accepted"," E-mail","18 Jan 2019","","","","","","","2 Mar 2019",""
"Massachusetts Institute Of Technology (MIT)","Aerospace Engineering","Masters (F19)","Rejected"," E-mail","1 Mar 2019","","","","","","","2 Mar 2019",""
"IIT Kanpur","Aerospace Engineering","Other (F19)","Rejected"," E-mail","1 Mar 2019","","","","","","I","2 Mar 2019","Was hopeful :( All the  best to those admitted."
"Massachusetts Institute Of Technology (MIT)","Aerospace Engineering","PhD (F19)","Rejected"," E-mail","1 Mar 2019","  3.79","153","164","4.00","","A","1 Mar 2019","The way I see it, the man who walked on the moon didn't go to MiT. This is not a projector of success, it is only a place where they have to select basically at random the best of the best and we were among them."
"Massachusetts Institute Of Technology (MIT)","Aerospace Engineering","Masters (F19)","Rejected"," E-mail","1 Mar 2019","","","","","","U","1 Mar 2019","Well written rej. Acceptance rate below 12%. Good luck to people still waiting for decisions!"
"Massachusetts Institute Of Technology (MIT)","Aerospace Engineering","PhD (F19)","Rejected"," E-mail","1 Mar 2019","","","","","","I","1 Mar 2019","Knew it was coming after the admits rolled out. Kudos to MIT for not letting the rejected applicants wait forever though."
"Illinois Institute Of Technology","Aerospace Engineering","Masters (F19)","Accepted"," E-mail","27 Feb 2019","  3.50","158","169","4.00","","U","1 Mar 2019","They asked me to explore my options for funding."
"Texas A&M University","Aerospace Engineering","PhD (F19)","Accepted"," Phone","2 Jan 2019","  3.50","158","169","4.00","","U","1 Mar 2019",""
"Massachusetts Institute Of Technology (MIT)","Aerospace Engineering","PhD (S19)","Rejected"," E-mail","1 Mar 2019","  3.50","158","169","4.00","","U","1 Mar 2019",""
"Massachusetts Institute Of Technology (MIT)","Aerospace Engineering","Masters (F18)","Wait listed"," E-mail","28 Feb 2019","  3.80","166","168","4.50","","A","28 Feb 2019",""
"University Of Michigan","Aerospace Engineering","Masters (F19)","Accepted"," E-mail","28 Feb 2019","  3.66","161","168","4.00","","I","28 Feb 2019","Really excited. Will mostly be accepting. Notified by email at 2:00 am Singapore time."
"Virginia Tech","Aerospace And Ocean Engineering","PhD (F19)","Accepted"," E-mail","27 Feb 2019","","","","","","I","28 Feb 2019","Unofficial admission offer from POI few weeks ago, and got an official admission yesterday. Happy!"
"UIUC","Aerospace Engineering","Masters (F19)","Accepted"," E-mail","27 Feb 2019","","","","","","I","28 Feb 2019","Received admit email without financial aid."
"University Of Illinois At Urbana Champaign","Aerospace Engineering","Masters (F19)","Accepted"," E-mail","27 Feb 2019","","","","","","I","27 Feb 2019","Received acceptance email.  However, no financial aid."
"University Of Michigan","Aerospace Engineering","PhD (F19)","Accepted"," E-mail","25 Feb 2019","  3.88","160","167","4.50","","","27 Feb 2019","Had phone interview with POI last week, got accepted with funding."
"University Of Florida","Mechanical And Aerospace Engineering","PhD (F19)","Rejected"," E-mail","27 Feb 2019","","","","","","I","27 Feb 2019","My Resume: B.Sc Mech 2.7 Shiraz University, M.Sc 3.91 IUST, 2 Q1 journal paper first author, Toefl 91, GRE 310, W3.5
Instead, they will consider me for M.Sc program"
"Virginia Tech","Aerospace Engineering","PhD (F19)","Accepted"," E-mail","27 Feb 2019","  4.00","162","162","4.50","","I","27 Feb 2019","Received the offer today with a GA offer.  Area: Applied Physics."
"University Of California, Los Angeles (UCLA)","Aerospace Engineering","PhD (F19)","Accepted"," E-mail","27 Feb 2019","  3.60","160","165","5.00","","I","27 Feb 2019",""
"TU Delft, Netherlands","Aerospace Engineering","Masters (F19)","Accepted"," E-mail","8 Feb 2019","  3.90","159","164","5.50","","I","27 Feb 2019","No information on funding."
"UC San Diego (UCSD)","Mechanical And Aerospace Engineering","Masters (F19)","Accepted"," E-mail","27 Feb 2019","","","","","","","27 Feb 2019","02/07 Nomination Letter Received, 02/27 Admitted."
"University Of Illinois","Aerospace Engineering","PhD (F19)","Accepted"," E-mail","26 Feb 2019","  3.75","164","165","4.00","","A","26 Feb 2019","admission came with GRA offer"
"Purdue University","Aerospace Engineering","PhD (F19)","Other"," E-mail","26 Feb 2019","","","","","","","26 Feb 2019","To the poster below: if you're rejecting it anyway, could you please do that as soon as possible so that department can accept another waiting application? Thank you!"
"University Of Colorado Boulder (CU Boulder)","Aerospace Engineering","Masters (F19)","Accepted"," E-mail","26 Feb 2019","","","","","","A","26 Feb 2019","$1500 one-time scholarship."
"University Of Colorado, Boulder","Aerospace Engineering","Masters (F19)","Accepted"," E-mail","26 Feb 2019","","","","","","A","26 Feb 2019","got a one time $2,500 scholarship lol"
"Purdue University","Aerospace Engineering","PhD (F19)","Accepted"," E-mail","26 Feb 2019","  3.90","157","162","5.00","","I","26 Feb 2019","Got an email saying that the application decision is available. No information regarding funding or advisorship. Accepting Michigan instead anyway so probably won't pursue it much further.

Experience: Masters degree from a top 30 worldwide AeroE school, 2 first author pubs (1 journal, 1 conference), 2 co-author conference pubs."
"University Of Illinois Urbana-Champaign","Aerospace Engineering","PhD (F19)","Rejected"," E-mail","26 Feb 2019","","","","","","","26 Feb 2019",""
"Purdue University - West Lafayette","Aerospace Engineering","Masters (F19)","Accepted"," E-mail","26 Feb 2019","  3.66","161","168","4.00","","I","26 Feb 2019",""
"University Of Californa, Los Angeles (UCLA)","Aerospace Engineering","Masters (F19)","Rejected"," Website","13 Feb 2019"," ","159","166","3.50","","I","25 Feb 2019",""
"Massachusetts Institute Of Technology (MIT)","Aerospace Engineering","PhD (F19)","Accepted"," E-mail","22 Feb 2019","  4.00","163","170","6.00","","I","24 Feb 2019",""
"Massachusetts Institute Of Technology (MIT)","Aerospace Engineering","PhD (F19)","Accepted"," E-mail","21 Feb 2019","  3.75","165","170","0.00","","A","23 Feb 2019","Wooooo!!! Applied for M.S. with intention of continuing to Ph.D.!"
"The University Of Colorado, Boulder","Aerospace Engineering","PhD (F19)","Other"," Other","22 Feb 2019","","","","","","O","22 Feb 2019","I did not get the invite for open house, which this year is only by invite. Did anyone get the invite? When is the open house?"
"Massachusetts Institute Of Technology (MIT)","Aerospace Engineering","Other (F19)","Other"," Other","22 Feb 2019","","","","","","O","22 Feb 2019","To the posters below: When in the day did you receive these emails?"
"Massachusetts Institute Of Technology (MIT)","Aerospace Engineering","PhD (F19)","Accepted"," E-mail","22 Feb 2019","","","","","","A","22 Feb 2019","dream came true. work hard really pays off. not the typical candidate"
"Arizona State University","Robotics And Autnomous Systems (Mechanical And Aerospace Engineering)","Masters (F19)","Accepted"," Website","16 Feb 2019","  3.70","155","165","4.00","","I","22 Feb 2019",""
"TU Delft, Netherlands","Aerospace Engineering","Masters (F19)","Rejected"," E-mail","8 Feb 2019","","","","","","","22 Feb 2019",""
"University Of Southern California","Aerospace Engineering","PhD (F19)","Accepted"," E-mail","21 Feb 2019"," ","161","164","4.00","","I","21 Feb 2019","4-year funding"
"University Of Cincinnati","Aerospace Engineering","PhD (F19)","Accepted"," E-mail","20 Feb 2019","","","","","","","20 Feb 2019","No word on the graduate assistant funding . Just got the scholarship from the department."
"University Of Cincinnati","Aerospace Engineering","PhD (F19)","Accepted"," E-mail","21 Feb 2019","","","","","","","20 Feb 2019","No word on the graduate assistant funding . Just got the scholarship from the department."
"Massachusetts Institute Of Technology (MIT)","Aerospace Engineering","Other (F19)","Other"," Other","21 Feb 2019","","","","","","O","20 Feb 2019","Anyone have an idea as to when AeroAstro results will be sent out?"
"University Of Colorado, Boulder","Aerospace Engineering","PhD (F19)","Other"," Other","20 Feb 2019","","","","","","A","20 Feb 2019","Has anyone heard from the CU Boulder-Aerospace Eng PhD Program about being invited to an open house or anything?"
"Virginia Tech","Aerospace Engineering","PhD (F19)","Accepted"," Other","16 Feb 2019","  3.77","153","165","4.50","","","20 Feb 2019",""
"University Of Notre Dame","Mechanical And Aerospace Engineering","PhD (F19)","Accepted"," E-mail","16 Feb 2019","  3.30","149","170","3.00","","I","20 Feb 2019","with tuition waive and  first year fellowship"
"University Of Washington","Aerospace Engineering","PhD (F19)","Interview"," E-mail","8 Feb 2019","","","","","","","19 Feb 2019","To the poster below, I have not received acceptance but did receive an interview ""funding"" visitation offer. I have two years of undergrad research experience including two summers where I traveled (internationally and then domestically). I have one conference paper as first author where I presented orally and one journal paper as first author in progress (however, both are related to engineering education, not aero). One conference paper awaiting review based on one of my summer research experiences. My GRE scores were pretty bad, low 150s. Good GPA though, 3.8. I put a lot of emphasis on STEM outreach in my application."
"Rensselaer Polytechnic Institute","Aerospace Engineering","PhD (F19)","Accepted"," E-mail","16 Feb 2019","  3.65","152","161","3.50","","U","19 Feb 2019","Acceptance followed by funding offer given out for direct PhD. Strong research experience with 2 conference and 2 journal papers."
"Virginia Tech","Aerospace Engineering","PhD (F19)","Accepted"," Other","16 Feb 2019","  3.65","152","161","3.50","","U","19 Feb 2019","Full funding offer given out during the recruitment weekend for direct PhD. Strong research experience with 2 conference and 2 journal papers."
"University Of Notre Dame","Mechanical And Aerospace Engineering","PhD (F19)","Accepted"," E-mail","15 Feb 2019","  3.32","159","155","4.00","","A","18 Feb 2019","Received invitation to visit in September 2018, visited January 2019 and received verbal offer. 3 years of research experience with multiple presentations, a co-op, and an REU at a top 10 university."
"Arizona State University","Aerospace Engineering","Masters (F19)","Accepted"," Website","7 Feb 2019","","","","","","I","18 Feb 2019",""
"Cornell University","Mechanical And Aerospace Engineering","PhD (F19)","Rejected"," E-mail","7 Feb 2019","","","","","","I","18 Feb 2019",""
"University Of Michigan","Aerospace Engineering","PhD (F19)","Other"," Other","17 Feb 2019","","","","","","O","17 Feb 2019","To the UMich Aero poster asking the question below, I was interviewed by POIs in late December and sent an admission a week later. I think most admits are given an interview before an admission is sent out, so I'd probably heavily recommend reaching out to some POIs at this point."
"Cornell University","Mechanical And Aerospace Engineering","Masters (F19)","Other"," POST","17 Feb 2019","","","","","","O","17 Feb 2019","OP below, is this Cornell M.Eng or MS?"
"Cornell University","Mechanical And Aerospace Engineering","Masters (F19)","Accepted"," E-mail","15 Feb 2019","  3.53","164","165","5.00","","A","17 Feb 2019","Master of Engineering Program"
"University Of Notre Dame","Mechanical And Aerospace Engineering","PhD (F19)","Accepted"," E-mail","14 Feb 2019","","","","","","","17 Feb 2019","Accepted with full funding as a graduate assistant, so happy!"
"Syracuse University","Mechanical And Aerospace Engineering","PhD (F19)","Rejected"," E-mail","11 Feb 2019","","","","","","","16 Feb 2019",""
"University Of Washington","Aerospace Engineering","PhD (F19)","Rejected"," E-mail","15 Feb 2019","  3.75","164","165","4.00","","A","16 Feb 2019",""
"UC San Diego (UCSD)","Mechanical And Aerospace Engineering","PhD (F19)","Other"," Other","16 Feb 2019","","","","","","I","16 Feb 2019","To posters below: I had a skype chat with a prof on 28th November, prior to applying. Haven't heard back ath yet. Even the professor hasn't responded to my follow up email. smh"
"University Of Minnesota","Aerospace Engineering And Mechanics","PhD (F19)","Accepted"," Website","14 Feb 2019","","","","","","I","14 Feb 2019","E-mail to check my application, no words of funding"
"University Of Californa, Los Angeles (UCLA)","Aerospace Engineering","Masters (F19)","Rejected"," E-mail","14 Feb 2019","","","","","","I","14 Feb 2019","Generic rejection letter."
"University Of California, Davis","Aerospace Engineering","PhD (F19)","Accepted"," E-mail","25 Jan 2019","","","","","","A","14 Feb 2019","Recommended for Admission by MAE Dept, invited out to Open House for ""upper echelon"" of applicants"
"University Of Californa, Los Angeles (UCLA)","Mechanical And Aerospace Engineering","PhD (F19)","Rejected"," E-mail","13 Feb 2019","","","","","","A","13 Feb 2019","A generic rejection letter via email at 3am. Good luck to all of the other applicants!"
"University Of Minnesota","Aerospace Engineering","PhD (F19)","Accepted"," E-mail","12 Feb 2019"," ","164","165","4.00","","A","13 Feb 2019",""
"University Of Californa, Los Angeles (UCLA)","Mechanical And Aerospace Engineering","PhD (F19)","Other"," E-mail","13 Feb 2019","","","","","","A","12 Feb 2019","Invited to Graduate Recruitment and Open House for ""upper echelon of applicants"""
"University Of Michigan","Aerospace Engineering","PhD (F19)","Accepted"," E-mail","7 Feb 2019","","","","","","A","12 Feb 2019",""
"University Of Colorado - Boulder","Aerospace Engineering","Masters (F19)","Accepted"," E-mail","12 Feb 2019","","","","","","A","12 Feb 2019",""
"University Of Minnesota","Aerospace Engineering","PhD (F19)","Accepted"," E-mail","12 Feb 2019","","","","","","I","12 Feb 2019","Got an email to check application page. NO word about funding yet. Had interview on 24th Jan. Good research experience in mechanics and probably good LORs."
"University Of Minnesota","Aerospace Engineering","PhD (F19)","Accepted"," E-mail","12 Feb 2019","","","","","","I","12 Feb 2019","No funding info."
"University Of Minnesota","Aerospace Engineering","PhD (F19)","Accepted"," E-mail","12 Feb 2019","","","","","","U","12 Feb 2019","Acceptance but no word of funding."
"UC San Diego (UCSD)","Mechanical And Aerospace Engineering","PhD (F19)","Other"," POST","12 Feb 2019","","","","","","O","12 Feb 2019","To the MAE accepted low gpa poster, 
What are the initials of your advisor?"
"UC San Diego (UCSD)","Mechanical And Aerospace Engineering","PhD (F19)","Accepted"," E-mail","8 Feb 2019","  3.20","161","155","4.00","","A","11 Feb 2019","Low GPA, relevant research to PI of choice, good letters, national lab"
"Arizona State University","Mechanical And Aerospace Engineering","Masters (F19)","Accepted"," E-mail","1 Feb 2019"," ","151","165","3.50","","I","11 Feb 2019","No word of funding."
"Purdue University - West Lafayette","Aerospace Engineering","PhD (F19)","Wait listed"," Other","11 Feb 2019","","","","","","I","11 Feb 2019","Grad coordinator informed I was waitlisted. If anyone is not interested or planning to decline, please do asap. This is my first choice."
"University Of Arizona, Tucson","Mechanical And Aerospace Engineering","PhD (F19)","Other"," E-mail","5 Feb 2019","","","","","","U","11 Feb 2019","Mechanical Engineering (PHD) has submitted their formal recommendation for your admission to the University of Arizona Graduate College for the Fall 2019 term."
"University Of Southern California","Aerospace Engineering","Masters (F19)","Accepted"," E-mail","11 Feb 2019","","","","","","A","10 Feb 2019",""
"UC San Diego","Mechanical And Aerospace Engineering","Masters (F19)","Accepted"," E-mail","5 Feb 2019","","","","","","I","10 Feb 2019","I received this on e-mail, ""You have been nominated for admission by the UC San Diego Mechanical and Aerospace Engineering department! 
Your application is now being reviewed by the UCSD Graduate Division."""
"University Of Florida","Aerospace Engineering","Masters (F19)","Accepted"," E-mail","26 Jan 2019","  3.00","164","151","4.00","","I","10 Feb 2019","Have received time of a month to accept the admission. No word of Scholarship yet."
"University Of Minnesota","Aerospace Engineering","PhD (F19)","Accepted"," E-mail","4 Feb 2019","","","","","","A","9 Feb 2019",""
"UC San Diego (UCSD)","Mechanical And Aerospace Engineering","PhD (F19)","Accepted"," E-mail","8 Feb 2019"," ","163","169","4.50","","A","8 Feb 2019","relatively low ug gpa, year of research in desired field, few conferences and pubs"
"Cornell University","Mechanical And Aerospace Engineering","PhD (F19)","Rejected"," E-mail","7 Feb 2019","  3.52","155","168","3.00","","I","8 Feb 2019",""
"University Of California, San Diego","Mechanical And Aerospace Engineering","PhD (F19)","Accepted"," E-mail","7 Feb 2019","  3.80","159","170","3.00","","U","7 Feb 2019",""
"Cornell University","Aerospace Engineering","PhD (F19)","Rejected"," E-mail","7 Feb 2019","  3.85","153","169","3.00","","I","7 Feb 2019","Have published a journal paper and several conference proceedings during my graduate studies. Solid LORs from internationally regarded professors. High grad/undergrad GPA, not from an U.S. institution, but still one of the top 3 institutions in my country."
