"Rice University","Biochemistry And Cell Biology","PhD (F19)","Rejected"," E-mail","27 Mar 2019","","","","","","I","27 Mar 2019",""
"University Of Houston","Biology","PhD (F19)","Accepted"," Website","27 Mar 2019"," ","151","161","3.50","","I","26 Mar 2019",""
"Arizona State University","Biology","PhD (F18)","Rejected"," E-mail","27 Mar 2019","","","","","","A","26 Mar 2019","Reached out to PI after months of not hearing anything from ASU, and it turns out I didn't get in this year.  My application status on MyASU is still listed as ""In Review"" - it's good to finally have some closure."
"Harvard University","Organismal Evolutionary Biology","PhD (F19)","Rejected"," Website","8 Mar 2019","","","","","","A","26 Mar 2019",""
"University Of Louisiana Lafayette","Biology","PhD (F19)","Wait listed"," E-mail","26 Mar 2019","","","","","","A","26 Mar 2019","Was waitlisted pending funding. If this school is your last choice or your safety pick please notify them that you're not interested!"
"IST Austria","Biology","PhD (F19)","Wait listed"," E-mail","26 Mar 2019","","","","","","I","26 Mar 2019","If you do not plan attending IST, please kindly reject the offer. It is my top choice:("
"Indiana University Bloomington","Biology-GCDB-Genome Cell Developmental Biology","PhD (F19)","Wait listed"," E-mail","26 Mar 2019","","","","","","O","26 Mar 2019","If you do not plan attending IU, please kindly reject the offer. It is my top choice:(("
"Wake Forest University","Biology","Masters (F19)","Accepted"," E-mail","26 Mar 2019","","","","","","A","25 Mar 2019","Just got accepted off the wait-list!"
"Villanova University","Biology","Masters (S19)","Accepted"," E-mail","12 Mar 2019","  3.30","166","153","0.00","","A","25 Mar 2019",""
"Loyola University Chicago","Biology","Masters (F19)","Accepted"," E-mail","22 Mar 2019","","","","","","","25 Mar 2019",""
"University Of Louisiana Lafayette","Biology","PhD (F19)","Accepted"," E-mail","22 Mar 2019","","","","","","","23 Mar 2019","Unofficial acceptance from the department. So pumped!!"
"Loyola University Chicago","Biology","Masters (F19)","Accepted"," E-mail","22 Mar 2019","","","","","","A","22 Mar 2019",""
"Loyola University Chicago","Biology","Masters (F19)","Accepted"," E-mail","22 Mar 2019","","","","","","A","22 Mar 2019",""
"McGill University","Biology","PhD (F19)","Accepted"," Website","21 Mar 2019","","","","","","I","21 Mar 2019",""
"Massachusetts Institute Of Technology (MIT)","Biology","PhD (F19)","Rejected"," E-mail","19 Mar 2019","  3.96","170","165","4.50","","A","20 Mar 2019","I really didn't want to go here, and the interviewers might have picked up on that. I'm also not as wet lab or structural biology focused as they'd probably like."
"University Of Texas At Dallas","Cell And Molecular Biology","PhD (F19)","Rejected"," E-mail","19 Mar 2019","  3.43","151","149","4.00","","I","19 Mar 2019","Second reject."
"Wake Forest University","Biology","Masters (F19)","Wait listed"," E-mail","19 Mar 2019","","","","","","","19 Mar 2019","As the other poster said...please let them know whether you choose to attend or not soon so that there’s ample time for deicisipns to be made off the waitlist!"
"Massachusetts Institute Of Technology (MIT)","Biology","PhD (F19)","Wait listed"," E-mail","19 Mar 2019","","","","","","A","19 Mar 2019","Waitlisted after interview"
"Wake Forest University","Biology","PhD (F19)","Rejected"," E-mail","19 Mar 2019","","","","","","","19 Mar 2019",""
"Michigan State University","Biomolecular Science Gateway (Molecular Biology & Genetics)","PhD (F19)","Rejected"," E-mail","15 Mar 2019","  3.83","163","155","4.00","","O","19 Mar 2019","rejected after skype interview. god I must be ugly! oh well, Ohio it is"
"Massachusetts Institute Of Technology (MIT)","Biology","PhD (F19)","Rejected"," E-mail","19 Mar 2019","","","","","","A","19 Mar 2019","Rejected after interview"
"Wake Forest University","Biology","Masters (F19)","Wait listed"," E-mail","19 Mar 2019","","","","","","","19 Mar 2019","Please decline/accept your offer soon so those on the waitlist don't have to wait much longer!"
"San Diego State University (SDSU)","Cell And Molecular Biology","PhD (F19)","Rejected"," E-mail","19 Feb 2019","  3.00","155","153","3.50","","I","19 Mar 2019",""
"UC Santa Cruz","Molecular, Cell And Developmental Biology","PhD (F18)","Rejected"," E-mail","18 Mar 2019","  3.00","155","153","3.50","","I","19 Mar 2019",""
"University Of Oklahoma","Biology","PhD (F19)","Accepted"," E-mail","18 Mar 2019","  3.38","157","162","4.00","","A","18 Mar 2019",""
"New York University ( NYU)","Biology","PhD (F19)","Accepted"," E-mail","18 Mar 2019","","","","","","A","18 Mar 2019","Unofficial notification email from admissions director"
"Uniformed Services University Of Health Sciences (USUHS)","Molecular Biology","PhD (F19)","Rejected"," E-mail","18 Mar 2019","","","","","","A","18 Mar 2019","Emailed program director, she said that all offers had already been extended."
"University Of Illinois At Urbana-Champaign","Molecular And Cellular Biology","PhD (F19)","Accepted"," E-mail","1 Mar 2019"," ","155","169","3.00","","U","18 Mar 2019",""
"University Of Texas At Austin","Plant Biology","PhD (F19)","Accepted"," E-mail","14 Mar 2019","","","","","","","18 Mar 2019",""
"University Of California, Riverside","Plant Biology","PhD (F19)","Accepted"," E-mail","14 Mar 2019","  3.19","152","155","4.00","","A","18 Mar 2019",""
"UC Santa Cruz (UCSC)","Biology PBSE","PhD (F19)","Rejected"," E-mail","18 Mar 2019","  3.60","167","152","5.50","","A","18 Mar 2019",""
"Tufts University","Biology","PhD (F19)","Accepted"," E-mail","14 Mar 2019","","","","","","I","18 Mar 2019",""
"University Of California, Davis","Nutritional Biology","PhD (F19)","Accepted"," E-mail","12 Mar 2019","","","","","","U","18 Mar 2019",""
"Stony Brook University-Cold Spring Harbor Laboratory-Brookhaven National Laboratory","Molecular And Cellular Biology (MCB)","PhD (F19)","Accepted"," E-mail","2 Mar 2019","  3.80","157","161","4.00","","I","17 Mar 2019","3 years of research experiences in relevant fields of study; 2 publications submitted; 3 research posters presented as the first author."
"McMaster University","Biology","Masters (F19)","Other"," Other","18 Mar 2019","","","","","","","17 Mar 2019","Anyone heard from McMaster's Radiation Sciences Graduate Program yet?"
"University Of Michigan","Ecology And Evolutionary Biology (EEB)","PhD (F19)","Rejected"," E-mail","1 Mar 2019","  3.67","157","162","4.00","","A","17 Mar 2019","Rejected after attending the departmental recruitment event. Ouch...."
"New York University ( NYU)","Biology","PhD (F19)","Accepted"," Phone","16 Mar 2019","","","","","","A","16 Mar 2019",""
"Johns Hopkins University","Chemistry Biology Interface (CBI)","PhD (F19)","Accepted"," E-mail","14 Mar 2019","  3.93","164","160","5.00","680","A","16 Mar 2019",""
"UC San Francisco (UCSF)","Chemical Biology","PhD (F19)","Accepted"," Phone","15 Feb 2019","","","","","","A","16 Mar 2019","STILL IN SHOCK!! 3 strong LOR, no publications (manuscript in review), no GRE score, incoming with a MS."
"UC San Diego (UCSD)","Bioinformatics And Systems Biology","PhD (F19)","Rejected"," E-mail","16 Mar 2019","","","","","","A","16 Mar 2019",""
"University Of California, Irvine","Cellular And Molecular Biology","PhD (F19)","Rejected"," E-mail","8 Mar 2019","","","","","","U","16 Mar 2019","Harvard masters degree"
"University Of California, San Diego","Bioinformatics And Systems Biology","PhD (F19)","Rejected"," E-mail","16 Mar 2019","","","","","","A","16 Mar 2019","Rejected post-interview at midnight PDT"
"Massachusetts Institute Of Technology (MIT)","Biology","PhD (F19)","Accepted"," E-mail","15 Mar 2019","","","","","","A","15 Mar 2019",""
"New York University","Biology","PhD (F19)","Accepted"," Phone","15 Mar 2019","  3.77","165","160","5.00","","A","15 Mar 2019","I did not submit GRE scores, because they weren't required for admission. 2 weeks ago, went in for the interview. Today, I got a call from one of the PIs I talked with during the interview, saying that I got in."
"New York University GSAS (NYU)","Biology","PhD (F19)","Other"," Other","15 Mar 2019","","","","","","O","15 Mar 2019","Anyone heard anything from NYU Biology PhD? I was told I would hear back by the end of this week. Anyone else told differently?"
"Duke","Biology","PhD (F19)","Rejected"," E-mail","14 Mar 2019","","","","","","I","15 Mar 2019","Received an email and asked to check portal."
"University Of Californa, Los Angeles (UCLA)","Molecular Biology","PhD (F19)","Rejected"," E-mail","8 Mar 2019","  3.50","158","167","4.50","","A","14 Mar 2019","Email to check status"
"Stanford University","Biosciences (Biology)","PhD (F19)","Rejected"," E-mail","14 Mar 2019","","","","","","A","14 Mar 2019",""
"Michigan State University (MSU)","Integrative Biology","PhD (F19)","Accepted"," E-mail","13 Mar 2019","","","","","","U","14 Mar 2019","Attended the recruitment weekend Jan 31, 2019-Feb 2, 2019. I received the acceptance letter (after being in the waitlist) to the program with full financial support. Good luck for everyone!"
"University Of California, Davis","Plant Biology","PhD (F19)","Rejected"," Website","14 Mar 2019","","","","","","","14 Mar 2019","Email to check updated portal status. Standard rejection letter. Not surprised, as I didn't get an interview."
"Columbia University","Biology","PhD (F19)","Accepted"," E-mail","14 Mar 2019","","","","","","A","14 Mar 2019",""
"University Of Colorado, Boulder","Biology","PhD (F19)","Rejected"," E-mail","14 Mar 2019","  2.88","153","155","3.00","","I","14 Mar 2019",""
"Tufts University Sackler School Of Graduate Biomedical Science","Cellular, Molecular, & Developmental Biology (CMDB)","PhD (F19)","Accepted"," Phone","14 Mar 2019","","","","","","A","14 Mar 2019",""
"Georgetown University","Tumor Biology","Masters (F19)","Accepted"," Website","13 Mar 2019","","","","","","I","14 Mar 2019","no interview, send an email and view the decision letter on the website"
"University Of Illinois At Urbana-Champaign","Molecular & Cellular Biology","PhD (F19)","Rejected"," E-mail","13 Mar 2019","","","","","","U","13 Mar 2019",""
"University Of California, Davis","Plant Biology","PhD (F19)","Rejected"," Website","13 Mar 2019","","","","","","O","13 Mar 2019","TTPB: Yes, I received an email saying the portal was updated. On the portal there was an official letter."
"ETH Zurich","Computational Biology And Bioinformatics","Masters (F19)","Accepted"," E-mail","13 Mar 2019","  3.70","162","167","4.00","","I","13 Mar 2019","Extremely proud do have made it in. However, will decline in favor of a PhD program I've been accepted to. No mention of ESOP/MSP yet."
"Worcester Polytechnic Institute","Biotechnology And Biology","PhD (F19)","Accepted"," E-mail","13 Mar 2019","","","","","","A","13 Mar 2019",""
"Rice University","Biochemistry And Cell Biology","PhD (F19)","Rejected"," E-mail","13 Mar 2019","","","","","","U","13 Mar 2019",""
"University Of South Dakota","Basic Biomedical Science-Cancer Biology","PhD (F19)","Other"," E-mail","13 Mar 2019","  3.69","149","156","2.50","","I","13 Mar 2019","Who could say is there anyone who had a interview or get admission in basic biomedical science  in university of south dakota?"
"University Of Illinois Urbana-Champaign","Molecular And Cellular Biology (MCB)","PhD (F19)","Rejected"," E-mail","13 Mar 2019","","","","","","A","13 Mar 2019","Expected this result, but at least I got into my top program."
"University Of California, Davis","Plant Biology","PhD (F19)","Other"," Other","13 Mar 2019","","","","","","","13 Mar 2019","TTPB: Was your application portal status updated?"
"Cleveland State University","Regulatory Biology","PhD (F19)","Accepted"," E-mail","19 Feb 2019","","","","","","I","13 Mar 2019",""
"Cleveland State University","Regulatory Biology","PhD (F19)","Accepted"," E-mail","19 Feb 2019","","","","","","I","13 Mar 2019",""
"University Of California, Davis","Plant Biology","PhD (F19)","Rejected"," Website","12 Mar 2019"," ","157","167","3.50","","I","13 Mar 2019",""
