"Duke University","Biomedical Engineering","PhD (F19)","Accepted"," E-mail","26 Mar 2019","","","","","","U","26 Mar 2019","Visited and interviewed Feb. 21st - 23rd. Just got an offer! I'm so excited! This was my first choice!"
"Johns Hopkins University","Biomedical Engineering","PhD (F19)","Other"," Other","26 Mar 2019","","","","","","I","26 Mar 2019","Why the admission committee is not sending decisions to the international students?"
"University Of Florida","Biomedical Engineering","Masters (F19)","Accepted"," E-mail","12 Mar 2019","","","","","","I","25 Mar 2019",""
"Texas A&M University - College Station (TAMU)","Biomedical Engineering","Masters (F19)","Rejected"," Website","23 Mar 2019","","","","","","I","23 Mar 2019",""
"Johns Hopkins School Of Medicine","Biomedical Engineering","PhD (F19)","Accepted"," E-mail","21 Mar 2019","","","","","","U","23 Mar 2019","RA offer, Imaging track."
"Wake Forest University","Biomedical Engineering","PhD (F19)","Rejected"," E-mail","22 Mar 2019","","","","","","I","22 Mar 2019","ㅠㅠ"
"Johns Hopkins University","Biomedical Engineering","PhD (F19)","Accepted"," E-mail","21 Mar 2019","  3.90","160","169","4.00","","","21 Mar 2019","Two RA offers!!!"
"Columbia University","Biomedical Engineering","PhD (F19)","Accepted"," E-mail","1 Mar 2019","","","","","","U","21 Mar 2019",""
"Columbia University","Biomedical Engineering","Masters (F18)","Other"," Other","21 Mar 2019","","","","","","","21 Mar 2019","TTPB: thanks, just sent an email to professor Lu. Seems like they decided regarding the PhD applicants first. I hope they will send decisions for Masters soon"
"University Of Florida","Biomedical Engineering","PhD (F19)","Rejected"," E-mail","21 Mar 2019","  3.33","170","156","3.00","","I","21 Mar 2019",""
"Northwestern University","Biomedical Engineering","PhD (F19)","Rejected"," E-mail","20 Mar 2019","","","","","","U","21 Mar 2019",""
"University Of Florida","Biomedical Engineering","PhD (F19)","Rejected"," E-mail","21 Mar 2019","","","","","","I","21 Mar 2019","ㅠㅠ"
"Columbia University","Biomedical Engineering","PhD (F19)","Other"," Other","21 Mar 2019","","","","","","O","21 Mar 2019","To the poster below, I only found out that I was wait-listed because I emailed Dr. Hess and asked for an application update. If you've heard nothing so far then it's likely that you've been wait-listed too."
"TU Delft, Netherlands","Biomedical Engineering","Masters (F19)","Accepted"," E-mail","19 Mar 2019","","","","","","I","21 Mar 2019",""
"Northwestern University","Biomedical Engineering","PhD (F19)","Rejected"," E-mail","20 Mar 2019","  3.33","170","156","3.00","","I","21 Mar 2019",""
"Northwestern University","Biomedical Engineering","PhD (F19)","Rejected"," E-mail","20 Mar 2019","  3.57","150","167","4.00","","I","20 Mar 2019",""
"Northwestern University","Biomedical Engineering","PhD (F19)","Rejected"," E-mail","20 Mar 2019","","","","","","A","20 Mar 2019",""
"Columbia University (Fu Foundation)","Biomedical Engineering","Masters (F18)","Other"," Other","20 Mar 2019","","","","","","","20 Mar 2019","Did anyone hear anything from them?? I’m freaking out"
"Cornell University","Biomedical Engineering","PhD (F19)","Rejected"," E-mail","15 Mar 2019","","","","","","A","20 Mar 2019","They forgot to release my decision. If you're still waiting, just email the department asking for an update and they respond really quickly. Was offered acceptance to MEng"
"Northwestern University","Biomedical Engineering","PhD (F19)","Rejected"," E-mail","20 Mar 2019","","","","","","I","20 Mar 2019",""
"Vanderbilt University","Biomedical Engineering","PhD (F19)","Accepted"," Website","15 Mar 2019","","","","","","U","20 Mar 2019",""
"Northwestern University","Biomedical Engineering","PhD (F19)","Rejected"," E-mail","20 Mar 2019","","","","","","I","20 Mar 2019","Eventually"
"Northwestern University","Biomedical Engineering","PhD (F19)","Rejected"," E-mail","20 Mar 2019","","","","","","A","20 Mar 2019",""
"Virginia Tech","Biomedical Engineering","PhD (F19)","Rejected"," E-mail","20 Mar 2019","","","","","","A","20 Mar 2019",""
"Northwestern University","Biomedical Engineering","PhD (F19)","Rejected"," E-mail","19 Mar 2019","","","","","","","20 Mar 2019",""
"Purdue University - West Lafayette","Biomedical Engineering","Masters (F19)","Rejected"," Website","20 Mar 2019"," ","157","166","4.00","","I","20 Mar 2019",""
"TU Delft, Netherlands","Biomedical Engineering","Masters (F19)","Accepted"," E-mail","19 Mar 2019","","","","","","I","19 Mar 2019",""
"Johns Hopkins University","Biomedical Engineering","PhD (F19)","Accepted"," E-mail","19 Mar 2019","","","","","","A","19 Mar 2019","Funding: RA"
"Columbia University","Biomedical Engineering","PhD (F19)","Wait listed"," E-mail","19 Mar 2019","","","","","","A","19 Mar 2019","If anyone has been offered admission to Dr. Helen Lu's lab at Columbia and has no intention of going there or decides to go elsewhere, please let Columbia know ASAP, it would be very appreciated!"
"Brown University","Biomedical Engineering","PhD (F19)","Rejected"," E-mail","19 Mar 2019","","","","","","A","19 Mar 2019","This year was one of our most competitive applicant pools, and unfortunately, we are unable to offer you admission into our PhD program for the Fall 2019 semester. However, at your request we can transfer your application (free of charge) to be considered for our Master of Science in Biomedical Engineering program."
"Carnegie Mellon University","Biomedical Engineering","PhD (F19)","Accepted"," Website","19 Mar 2019","","","","","","","19 Mar 2019","PhD Direct Entry. Offered RA."
"Johns Hopkins University","Biomedical Engineering","PhD (F19)","Accepted"," E-mail","18 Mar 2019","","","","","","A","19 Mar 2019","RA offer! Stoked!!"
"University Of Texas At Austin","Biomedical Engineering","PhD (F19)","Rejected"," E-mail","19 Mar 2019","","","","","","A","18 Mar 2019",""
"University Of Texas At Austin","Biomedical Engineering","PhD (F19)","Rejected"," E-mail","19 Mar 2019","","","","","","A","18 Mar 2019","Angry reacts only pls"
"Case Western Reserve University / Cleveland Clinic","Biomedical Engineering","PhD (F19)","Accepted"," E-mail","18 Mar 2019","","","","","","A","18 Mar 2019","Track: biomaterials/drug delivery."
"Northwestern University","Biomedical Engineering","PhD (F19)","Accepted"," E-mail","15 Mar 2019","  4.00","162","168","4.50","","U","18 Mar 2019",""
"Columbia University","Biomedical Engineering","Masters (F18)","Other"," Other","17 Mar 2019","","","","","","","17 Mar 2019","How do I check if there is a decision regarding my application? What is the ""portal"" you all been writing about? Is it the same place where I submitted my application?"
"Columbia University","Biomedical Engineering","Masters (F18)","Interview"," E-mail","14 Mar 2019","","","","","","","15 Mar 2019","To the poster below, I got an email with an interview invitation for today. Did you get it too?"
"Cornell (Ithaca)","Biomedical Engineering","PhD (F19)","Other"," Other","15 Mar 2019","","","","","","I","15 Mar 2019","To the poster below dated 15th March,
Did you get straight reject from PhD or did they offer you Meng consideration ?"
"Carnegie Mellon University","Biomedical Engineering","PhD (F19)","Rejected"," E-mail","14 Mar 2019","","","","","","O","15 Mar 2019","Got accepted for their Master's program instead."
"Georgia Institute Of Technology","Biomedical Engineering","PhD (F19)","Rejected"," Other","15 Mar 2019","  3.77","155","162","4.50","","U","14 Mar 2019","2 first author publications, 4 years of research exp, great letters, masters in biomedical engineering - this was my safety school. Too bad for Georgia tech."
"Georgia Institute Of Technology","Biomedical Engineering","PhD (F19)","Rejected"," E-mail","15 Mar 2019","","","","","","I","14 Mar 2019","Your application for admission has been reviewed by the faculty graduate admission committee. The program receives a large number of applications from highly qualified individuals and is able to offer admission to only a small group of applicants. I regret to inform you that the committee did not recommend your application be accepted for admission. 

Thank you again for your interest in our program and I wish you success in your academic career."
"Georgia Institute Of Technology (GaTech)","BioEngineering (Biomedical Engineering)","PhD (F19)","Rejected"," Website","14 Mar 2019","","","","","","A","14 Mar 2019","Their loss! Besides, who needs that environment anyways? 😂"
"Cornell (Ithaca)","Biomedical Engineering","PhD (F19)","Rejected"," E-mail","14 Mar 2019","","","","","","A","14 Mar 2019","generic rejection letter"
"Georgia Institute Of Technology (Gatech Georgia Tech)","Biomedical Engineering","PhD (F19)","Rejected"," E-mail","14 Mar 2019","","","","","","A","14 Mar 2019","email to check portal rejection."
"Georgia Institute Of Technology","Biomedical Engineering","PhD (F19)","Rejected"," Website","14 Mar 2019","","","","","","","14 Mar 2019","Notified by email to check website."
"University Of Florida","Biomedical Engineering","PhD (F19)","Wait listed"," E-mail","14 Mar 2019","","","","","","A","14 Mar 2019",""
"Carnegie Mellon University","Biomedical Engineering","Masters (F19)","Accepted"," Website","14 Mar 2019","  3.64","155","161","4.00","","I","14 Mar 2019","Got a TA offer as well. Really excited!"
"Georgia Institute Of Technology (GaTech)","Biomedical Engineering","PhD (F19)","Rejected"," Website","14 Mar 2019","  3.57","157","160","4.50","","U","14 Mar 2019","not surprised, this was my reach school. Got into my top choice, so not too torn up about it. Congrats to the successful candidates!"
"Johns Hopkins University","Biomedical Engineering","PhD (F19)","Accepted"," E-mail","14 Mar 2019","  3.85","149","152","5.00","","A","14 Mar 2019","Cell and Tissue track"
"Carnegie Mellon University","Biomedical Engineering","Masters (F19)","Accepted"," Website","13 Mar 2019","","","","","","U","14 Mar 2019",""
"Carnegie Mellon University","Biomedical Engineering","PhD (F19)","Rejected"," Website","13 Mar 2019","","","","","","U","14 Mar 2019",""
"Columbia University","Biomedical Engineering","Masters (F18)","Interview"," E-mail","14 Mar 2019","","","","","","I","14 Mar 2019","Hi
I got an email with an interview invitation 
Can anyone tell me what do they ask?"
"Washington University In St. Louis (WashU/WUSTL)","Biomedical Engineering","Masters (F19)","Accepted"," E-mail","14 Mar 2019","  3.02","157","167","4.00","","U","14 Mar 2019","Very excited! Submitted application only two weeks ago. Low GPA, 2 research experience for 1 year, LOR from leader in the field."
"Georgia Institute Of Technology (GaTech)","BioEngineering (Biomedical Engineering)","PhD (F18)","Other"," Other","13 Mar 2019","","","","","","A","13 Mar 2019","Wth is going on with this dept/program? The visit was last weekend - send the damn rejection already!!!"
"Carnegie Mellon University","Biomedical Engineering","PhD (F19)","Rejected"," E-mail","13 Mar 2019","","","","","","","13 Mar 2019","Email to check website."
"Johns Hopkins University","Biomedical Engineering","PhD (F19)","Accepted"," E-mail","12 Mar 2019","","","","","","A","13 Mar 2019","Fellowship"
"Columbia University (Fu Foundation)","Biomedical Engineering","PhD (F19)","Accepted"," E-mail","11 Mar 2019","  3.50","161","170","0.00","","A","13 Mar 2019","Skype interview on the first week of Feb. So glad to be accepted! Superb program and lab!"
"Johns Hopkins University","Biomedical Engineering","PhD (F19)","Other"," Other","12 Mar 2019","","","","","","A","12 Mar 2019","To the posters below, did you get RA or Fellowship?"
"Johns Hopkins University","Biomedical Engineering","PhD (F19)","Accepted"," E-mail","12 Mar 2019","","","","","","A","12 Mar 2019","computational biology concentration"
"Johns Hopkins University","Biomedical Engineering","PhD (F19)","Accepted"," E-mail","12 Mar 2019","","","","","","A","12 Mar 2019",""
"Johns Hopkins University","Biomedical Engineering","PhD (F19)","Accepted"," E-mail","12 Mar 2019","","","","","","U","12 Mar 2019",""
"Georgia Tech","Biomedical Engineering","PhD (F19)","Other"," Other","12 Mar 2019","","","","","","I","12 Mar 2019","To the poster below, exact same situation here, I think it would a rejection to be expected."
"Johns Hopkins University","Biomedical Engineering","PhD (F19)","Other"," Other","12 Mar 2019","","","","","","A","12 Mar 2019","Anybody hear back from the department? Still waiting"
"UC San Diego (UCSD)","Biomedical Engineering","PhD (F19)","Rejected"," E-mail","12 Mar 2019","","","","","","A","12 Mar 2019","generic rejection"
"University Of North Carolina Chapel Hill (UNC)","Biomedical Engineering","PhD (F19)","Rejected"," E-mail","11 Mar 2019","","","","","","A","11 Mar 2019","Email to check website. :("
"University Of Central Florida (UCF)","Biomedical Engineering","Masters (F19)","Accepted"," E-mail","11 Mar 2019","","","","","","U","11 Mar 2019",""
"University Of North Carolina Chapel Hill (UNC)","Biomedical Engineering","PhD (F19)","Rejected"," Website","11 Mar 2019","  3.33","165","157","5.50","","","11 Mar 2019","Meh accepted to a better program anyway"
"Duke University","Biomedical Engineering","Masters (F19)","Accepted"," E-mail","11 Mar 2019","  3.43","160","170","4.50","","I","11 Mar 2019","So excited!!! Thank you Duke!!"
"New York University (NYU) - Tandon","Biomedical Engineering","Masters (F19)","Accepted"," E-mail","9 Mar 2019","  3.52","166","155","3.00","","U","11 Mar 2019","Submitted the application on Feb 14th, got accepted with $9000 of scholarship"
"Carnegie Mellon University","Biomedical Engineering","Masters (F19)","Accepted"," E-mail","27 Feb 2019","  3.43","160","170","4.50","","I","11 Mar 2019","How is the CMU biomedical engineering masters program for someone with an EE background?"
"University Of Michigan","Biomedical Engineering","Masters (F19)","Accepted"," E-mail","1 Mar 2019","  3.43","160","170","4.50","","I","11 Mar 2019","Can anyone provide some insight on the masters of biomedical engineering at UMich?"
"Georgia Tech","Biomedical Engineering","PhD (F19)","Other"," Other","11 Mar 2019","","","","","","U","11 Mar 2019","Anyone know if they are still sending out rejections/admissions to the joint BME program with Emory? I know the campus invitation was last week, and if I don't hear anything from the department today, is it certain that I'm most likely getting a rejection? My online status is still ""To Dept for review""."
"University Of Iowa","Biomedical Engineering","PhD (F19)","Other"," POST","11 Mar 2019","","","","","","I","11 Mar 2019","Did anyone hear back from this program?"
"Boston University","Biomedical Engineering","PhD (F19)","Wait listed"," E-mail","5 Mar 2019","","","","","","U","10 Mar 2019","Congrats to all who got acceptance. Please decline ASAP if you know you are not going there. My top school !"
"Cornell University","Biomedical Engineering","PhD (F19)","Other"," E-mail","10 Mar 2019","","","","","","","9 Mar 2019","To the post below, some students has been received invitation letter from the director of the program, and they visited campus 1-3 March. (Phd)
"
"University Of Virginia","Biomedical Engineering","PhD (F19)","Accepted"," E-mail","7 Mar 2019","  3.60","165","170","4.50","","A","9 Mar 2019","Notified via email, and then viewed the decision on the application website"
"Boston University","Biomedical Engineering","PhD (F19)","Wait listed"," E-mail","6 Mar 2019","  3.60","165","170","4.50","","A","9 Mar 2019","Final decision will be given in mid-April"
"Cornell University","Biomedical Engineering","PhD (F19)","Other"," E-mail","9 Mar 2019","","","","","","I","9 Mar 2019","To the posters below who have been offered. Meng instead of PhD ? 
Are you guys already master's and applied to.phd or are you just bachelor's?

"
"University Of Connecticut","Biomedical Engineering","PhD (F19)","Accepted"," E-mail","4 Mar 2019","","","","","","I","9 Mar 2019","No funding from the department. Hence, I won't be joining."
"Boston University","Biomedical Engineering","PhD (F19)","Wait listed"," E-mail","4 Mar 2019","  3.80","165","164","5.00","","A","9 Mar 2019","Probably not going to accept a place on the waitlist since I got accepted to other schools, good luck to everyone else on the waitlist!"
"Worcester Polytechnic Institute","Biomedical Engineering","PhD (F19)","Accepted"," E-mail","15 Feb 2019","  3.80","165","164","5.00","","A","9 Mar 2019","Admitted after the visitation weekend. Interview request was Jan 16 and the official visit invite came on Jan 27."
"University Of California, Davis","Biomedical Engineering","PhD (F19)","Accepted"," E-mail","7 Mar 2019","  3.80","165","164","5.00","","A","9 Mar 2019","No mention of funding yet"
"Duke University","Biomedical Engineering","Masters (F19)","Accepted"," E-mail","9 Mar 2019","  3.48","159","166","4.00","","I","9 Mar 2019","Received the decision on One Link Account."
"Cornell University","Biomedical Engineering","PhD (F19)","Other"," Other","9 Mar 2019","","","","","","I","8 Mar 2019","Does anyone receive an official admission offer letter from the Biomedical engineering department?"
"Texas A & M University (TAMU)","Biomedical Engineering","PhD (F19)","Accepted"," E-mail","8 Mar 2019","","","","","","A","8 Mar 2019","Nut"
"Duke University","Biomedical Engineering","Masters (F19)","Wait listed"," E-mail","7 Mar 2019","","","","","","U","8 Mar 2019","WL is such a waste of time...got better offers."
"University Of Pennsylvania","Biomedical Engineering","Masters (F19)","Accepted"," E-mail","8 Mar 2019","","","","","","U","8 Mar 2019",""
"Duke University","Biomedical Engineering","Masters (F19)","Other"," Other","8 Mar 2019","","","","","","O","8 Mar 2019","It seems a few people have been notified of their decisions for the MS program today. Any idea if they release decisions on a rolling basis or if others should expect to here back soon?"
"Duke University","Biomedical Engineering","Masters (F19)","Accepted"," E-mail","7 Mar 2019","  3.40","158","163","5.00","","A","8 Mar 2019","M.S. Program, no word on funding yet."
"Duke University","Biomedical Engineering","Masters (F19)","Rejected"," E-mail","7 Mar 2019","","","","","","","7 Mar 2019","Interesting, I was admitted to this program last year, but I declined it and took internship in the best medical school in US. And I am rejected this year, but got PhD offers from better engineering institutions, good luck to all of u."
"Duke University","Biomedical Engineering","Masters (F19)","Accepted"," Website","7 Mar 2019","","","","","","","7 Mar 2019",""
"Duke University","Biomedical Engineering","Masters (F19)","Rejected"," Website","7 Mar 2019","","","","","","U","7 Mar 2019","To the person below: My application was for MS. Best luck!"
"Duke University","Biomedical Engineering","Masters (F19)","Other"," Other","7 Mar 2019","","","","","","","7 Mar 2019","To the poster below, was this MS or MEng? Thank you!"
"Duke University","Biomedical Engineering","Masters (F19)","Rejected"," Website","7 Mar 2019","  3.02","157","167","4.00","","U","7 Mar 2019",""
"University Of Virginia","Biomedical Engineering","PhD (F19)","Accepted"," Website","7 Mar 2019"," ","163","160","5.50","","A","7 Mar 2019","My first acceptance, and to a program I was really interested. Very pleased. They ask you to check the website through an email, and then once you check the website, you can click to see your decision. I hope everyone in the second weekend enjoys their trip!"
"ETH Zurich","Biomedical Engineering","Masters (F19)","Accepted"," E-mail","6 Mar 2019","  3.81","156","168","3.50","","I","7 Mar 2019","Yeay !"
