"The University Of Wyoming - Laramie","Chemical Engineering", PhD (F18),Accepted , E-mail,13 Jun 2018 , 3.80,152,160,4.50, n/a,I,19 Jul 2018,""
"The University Of Southern California (USC)","Biochemical & Chemical Engineering", Masters (F18),Accepted , E-mail,19 Jun 2018,,,,,,I,27 Jun 2018,""
"The University Of Alberta","Advanced Chemical Engineering", PhD (F18),Other , Other,21 Jun 2018,,,,,,I,21 Jun 2018,"Hey to the post below 6th June, do you find any professor or got admit from the university"
"University Of Alberta","Chemical And Materials Engineering", Masters (F18),Accepted , E-mail,19 Jun 2018,,,,,,I,18 Jun 2018,"(thesis based masters) Had an interview with supervisor last week. Funding letter may take a week or so to arrive."
"University Of Alberta (U Of A)","Advanced Chemical Engineering", PhD (F18),Other , Other,6 Jun 2018,,,,,,I,6 Jun 2018,"Is there any one who got acceptance for phd? Did anyone is getting response from any professor?"
"University Of Western Ontario (Western University)","Chemical And Biochemical Engineering", Masters (F18),Accepted , E-mail,1 Jun 2018,,,,,,I,2 Jun 2018,"Short boring acceptance mail. It took them too long to return so accepted another offer"
"University Of Utah (UoU)","Chemical Engineering", Masters (F18),Accepted , E-mail,29 May 2018,,,,,,A,29 May 2018,""
"The University Of Melbourne","Chemical Engineering", PhD (F18),Rejected , E-mail,29 May 2018,,,,,,I,29 May 2018,""
"University Of Alberta","Chemical And Materials Engineering", Masters (F18),Other , Other,28 May 2018,,,,,,I,28 May 2018,"To the post below about finding a potential supervisor for chemical and materials engg, any update? still waiting for my status to change from pre-screening."
"University Of Ottawa","Chemical Engineering", Masters (F18),Accepted , E-mail,23 May 2018,,,,,,I,24 May 2018,"Received an email to check application website to see acceptance"
"(CUNY) Graduate Center","Chemical Engineering", PhD (F18),Other , Other,17 May 2018,,,,,,U,17 May 2018,"CUNY is taking forever to announce their decisions. If anyone has heard from this program, please do share results. At this point I am expecting the worst."
"University Of Pittsburgh","Advanced Chemical Engineering", PhD (F18),Other , Other,16 May 2018,,,,,,U,16 May 2018,"Has anyone heard from Univ of Pittsburgh lately? Have all the acceptances done already? I got no reply till now. Please let me know if anyone has heard. Thank you!"
"Oklahoma State Univeristy","Chemical Engineering", PhD (F18),Other , Other,13 May 2018,,,,,,O,13 May 2018,"Anyone heard back from Oklahoma state university"
"Ohio State University","Chemical And Bio Molecular Engineering", PhD (F18),Wait listed , E-mail,30 Apr 2018,,,,,,I,12 May 2018,"I got an email from osu stating you have been wait listed, anyone else received the mail regarding wait list? are there any slight chances of getting admit now?"
"Cambridge University","Chemical Engineering", PhD (F18),Accepted , E-mail,5 Mar 2018,,,,,,I,11 May 2018,"Conditional offer received, but waiting on funding."
"The University Of Utah","Chemical Engineering", PhD (F18),Accepted , E-mail,10 May 2018 , 4.00,145,158,3.50, n/a,I,11 May 2018,"28k fellowship and RA! Will definitely accept the offer."
"University Of Utah","`Chemical Engineering", PhD (F18),Rejected , E-mail,10 May 2018,,,,,,I,10 May 2018,""
"The University Of Alberta","Chemical And Materials Engineering", Masters (F18),Other , E-mail,9 May 2018,,,,,,U,10 May 2018,"Got a message from the department. My application has passed the preliminary review. Next step is to find a supervisor.."
"The University Of Ottawa","Chemical Engineering", Masters (F18),Accepted , E-mail,9 May 2018,,,,,,U,10 May 2018,"Applied to MASc and MEng programs. Got rejected from MASc last week but they admitted me to the MEng program."
"University Of California Riverside (UCR)","Chemical And Environmental Engineering", Masters (F18),Rejected , E-mail,9 May 2018,,,,,,I,10 May 2018,""
"The University Of Utah","Chemical Engineering", PhD (F18),Other , E-mail,9 May 2018,,,,,,?,9 May 2018,"Has anyone received any notifications about when decisions are going to be sent out? It’s already May and there’s still nothing from them..."
"UCI (University Of California, Irvine)","Chemical And Biochemical Engineering", Masters (F18),Accepted , E-mail,8 May 2018,,,,,,I,9 May 2018,"so excited"
"Northeastern University (NEU)","Chemical Engineering", PhD (F18),Rejected , Postal Service,8 May 2018,,,,,,U,8 May 2018,"Got an email from the program director last month asking if I am still interested, but checked the portal today only to find a rejection."
"JHU (Johns Hopkins University)","Chemical And Biomolecular Engineering (ChemBE)", PhD (F18),Rejected , E-mail,1 May 2018,,,,,,A,8 May 2018,"Not surprised by this result, given the fact that I didn't hear back until May. I am surprised by the rejection overall though, because this was the lowest ranked program I applied to... I guess it just wasn't a great fit!"
"University Of British Columbia (UBC)","Chemical & Biological Engineering", Masters (F18),Other , E-mail,27 Apr 2018,,,,,,U,8 May 2018,"Here is what the Department told me when I asked about my application status.

""Unfortunately we are not able to give updates as applications are circulated throughout faculty once complete. We will not be able to confirm admissions until July as there is some rare instances where admission is offered last minute but for the most part, we have a very high number of qualified applicants and few positions to offer each year – this also is dependent on the research area matches and the particular funding available for each faculty member so it’s also a timing issue."""
"UCR University Of California Riverside","Chemical And Environmental Engineering (Environmental)", PhD (F18),Accepted , E-mail,2 May 2018,,,,,,U,3 May 2018,"I am so excited! I had an interview on last Friday and received an admission letter today!
"
"The University Of Ottawa","Chemical Engineering", Masters (F18),Rejected , E-mail,2 May 2018,,,,,,U,2 May 2018,""
"Northeastern University","Chemical Engineering", PhD (F18),Accepted , E-mail,27 Apr 2018,,,,,,I,1 May 2018,"To the poster below - same thing with me. Applied for funded  PhD, accepted to unfunded masters. I have no idea where I’m supposed to find $50k per year without assistantship. :("
"University Of North Carolina Chapel Hill","Chemical Engineering", PhD (F18),Rejected , Website,30 Apr 2018,,,,,,U,1 May 2018,"Senior Undergraduate student- one journal publication"
"Carnegie Mellon Univeristy (CMU)","Chemical Engineering", Masters (F18),Accepted , E-mail,14 Apr 2018 , n/a,157,165,3.50, n/a,A,29 Apr 2018,""
"Northeastern Univeristy","Chemical And Biochemical Engineering", PhD (F18),Accepted , E-mail,27 Apr 2018,,,,,,I,29 Apr 2018,"Applied for a PhD, got an offer for Master's. No assistantship available. Disappointed!"
"University Of Kentucky (KU)","Chemical Engineering", PhD (F18),Rejected , E-mail,29 Apr 2018 , 3.82,142,162,3.50, n/a,U,29 Apr 2018,""
"Illinois At Chicago (UIC)","Chemical Engineering", PhD (F18),Accepted , Website,25 Apr 2018 , 2.65,170,150,4.00, n/a,U,25 Apr 2018,"No email notification and checked the website. Top2 university from China with awful UG GPA. MS in US. Inter-disciplinary research experience and 2 publications. Met the DGS before. Will finally accept."
"The University Of Utah","Chemical Engineering", PhD (F18),Other , Other,25 Apr 2018,,,,,,I,25 Apr 2018,"Has anyone heard from Utah? it is quite late and there in no info till now"
"Michigan Technological University (MTU)","Chemical Engineering", PhD (F18),Accepted , E-mail,24 Jan 2018,,,,,,I,25 Apr 2018,"No fund till now (25/4/2018)"
"TAMU (Texas A & M University) College Station","Chemical Engineering", PhD (F18),Rejected , Website,22 Apr 2018,,,,,,I,24 Apr 2018,""
"UHouston","Chemical Engineering", PhD (F18),Rejected , Website,23 Apr 2018 , 3.60,157,169,3.50, n/a,I,23 Apr 2018,""
