"University Of Texas At Austin","Chemistry","PhD (F19)","Rejected"," E-mail","27 Mar 2019","","","","","","A","26 Mar 2019","Just says denied."
"University Of Colorado, Boulder","Chemistry","PhD (F19)","Rejected"," E-mail","20 Mar 2019","  3.81","161","158","4.00","790","A","25 Mar 2019",""
"University Of Washington","Chemistry","PhD (F19)","Other"," Other","24 Mar 2019","","","","","","A","24 Mar 2019","What a pathetic institution that keeps students waiting this long. I've heard from several other people that they haven't heard back yet either. Already accepted my offer from a top 10 university. If this is any indication of how their program is run, steer clear of this university"
"University Of California, Davis","Chemistry","PhD (F19)","Accepted"," E-mail","12 Feb 2019","","","","","","A","23 Mar 2019","accepted in February by department, received official letter 3/21"
"Ohio State University","Chemistry","PhD (F19)","Rejected"," Website","22 Mar 2019","  3.81","157","165","3.50","760","I","22 Mar 2019","Checked the website"
"University Of Oregon","Chemistry","PhD (F19)","Rejected"," E-mail","22 Mar 2019","","","","","","A","22 Mar 2019",""
"University Of Oregon","Chemistry","PhD (F19)","Rejected"," E-mail","22 Mar 2019","","","","","","A","22 Mar 2019",""
"Miami University (Ohio)","Chemistry","PhD (F19)","Wait listed"," E-mail","22 Mar 2019","","","","","","A","22 Mar 2019","Already accepted in my top choice"
"SUNY Albany","Chemistry","PhD (F19)","Rejected"," E-mail","21 Mar 2019","  4.00","161","161","4.50","720","A","22 Mar 2019","I was applying for the analytical track, but they were only taking biochemistry students."
"University Of North Carolina Chapel Hill (UNC)","Chemistry","PhD (F19)","Rejected"," Website","21 Mar 2019","","","","","","I","22 Mar 2019",""
"Michigan State University","Chemistry","PhD (F19)","Accepted"," E-mail","21 Mar 2019","","","","","","I","21 Mar 2019","I was interviewed yesterday. I got the offer today. Happy for it."
"Vanderbilt University","Chemistry","PhD (F19)","Wait listed"," E-mail","17 Mar 2019","","","","","","I","20 Mar 2019","If anyone is declining Vandibilt's Chenistry admission. Now is the time to do it. I would really love to attend Vanderbilt University. I don't know why I was waitlisted!"
"University Of Rochester","Chemistry","PhD (F19)","Rejected"," E-mail","20 Mar 2019","","","","","","A","20 Mar 2019",""
"University Of Florida","Chemistry","PhD (F19)","Wait listed"," E-mail","20 Mar 2019","","","","","","U","20 Mar 2019","Lie Down / Try Not To Cry / Cry A Lot"
"Georgia Institute Of Technology","Chemistry","PhD (F19)","Accepted"," E-mail","15 Mar 2019","","","","","","","19 Mar 2019","For Georgia Tech it is important for a professor (or two) to accept you into their lab. This is specifically true for international students, I think. So its best to contact profs that you want to work with.  Best of luck for everyone waiting to hear still."
"University Of Illiois At Urbana-Champain","Chemistry","PhD (F19)","Rejected"," E-mail","13 Mar 2019","","","","","","I","19 Mar 2019",""
"University Of Alberta","Chemistry","PhD (F19)","Accepted"," E-mail","19 Mar 2019","  3.65","145","167","3.00","790","I","19 Mar 2019",""
"Georgia Institute Of Technology (Gatech Georgia Tech)","Chemistry","PhD (F19)","Rejected"," E-mail","15 Mar 2019","  3.95","157","170","5.00","","U","19 Mar 2019","Applied mainly out of spite but still, I am so salty haha"
"Michigan State University","Chemistry","PhD (F19)","Other"," Other","19 Mar 2019","","","","","","I","19 Mar 2019","I applied to MSU and GSU over 3 months ago but i haven't received any decision. I sent a mail to the schools few weeks ago but i was told that a decision has not been reached on my application and also, they are still reviewing hundreds of applications. This is a bit frustrating because i have started preparing to re-write my GRE test because I obtained an average."
"Georgia Tech","Chemistry","PhD (F19)","Rejected"," E-mail","15 Mar 2019","","","","","","I","19 Mar 2019","Well, I was finally rejected by Georgia Tech. Four programs left! Good luck to me!"
"University Of Colorado Boulder (CU Boulder)","Chemistry","PhD (F19)","Rejected"," E-mail","18 Mar 2019","  3.41","158","163","4.50","","A","18 Mar 2019",""
"Johns Hopkins University","Chemistry Biology Interface (CBI)","PhD (F19)","Accepted"," E-mail","14 Mar 2019","  3.93","164","160","5.00","680","A","16 Mar 2019",""
"Michigan State University (MSU)","Chemistry","PhD (F19)","Other"," E-mail","16 Mar 2019","","","","","","I","16 Mar 2019","To the poster below, MSU Chem department interviews all applicants who pass through the first screening stage. My interview was very brief. No details of previous research. Simple questions. what research area are u interested in? Any teaching experience? I was sure they just wanted to test my fluency in the English language. Anyway, I got an offer the next day. All the best!"
"Michigan State University","Chemistry","PhD (F19)","Interview"," E-mail","12 Mar 2019","","","","","","A","16 Mar 2019","What should I hope from this interview?"
"University Of Notre Dame","Chemistry","PhD (F19)","Accepted"," E-mail","15 Mar 2019","","","","","","A","16 Mar 2019",""
"Georgia Institute Of Technology (GaTech)","Chemistry","PhD (F19)","Rejected"," E-mail","15 Mar 2019","  3.95","163","167","0.00","860","I","15 Mar 2019",""
"Georgia Institute Of Technology (GaTech)","Chemistry","PhD (F19)","Rejected"," E-mail","15 Mar 2019","","","","","","I","15 Mar 2019",""
"University Of Illinois, Chicago (UIC)","Chemistry","PhD (F19)","Other"," Other","15 Mar 2019","","","","","","U","15 Mar 2019","I requested UIC to withdraw my application as they kept bothering me with spams and reminders. I emailed them many times, but they NEVER reply.
Never apply to that program. The program is bad, admission system is a mess. They do not do their job and are very irresponsible. They think that they r the number 1 lol"
"Cornell University","Chemistry","PhD (F19)","Rejected"," E-mail","1 Mar 2019","  3.95","165","162","4.50","730","A","14 Mar 2019",""
"University Of Illinois At Urbana Champaign UIUC","Chemistry","PhD (F19)","Rejected"," E-mail","14 Mar 2019","","","","","","A","14 Mar 2019",""
"University Of Illinois At Urbana Champaign/ UIUC","Chemistry","PhD (F19)","Rejected"," E-mail","13 Mar 2019","","","","","","A","14 Mar 2019",""
"University Of Illinois Urbana-Champaign UIUC","Chemistry","PhD (F19)","Rejected"," E-mail","13 Mar 2019","  3.15","162","165","3.50","840","I","13 Mar 2019","Decent LORs, 2 second authored publications in good journals."
"University Of Florida","Chemistry","PhD (F19)","Accepted"," E-mail","19 Feb 2019","  3.75","157","160","4.50","720","U","13 Mar 2019","I figured these stats might help future applicants. Small liberal arts college. ACS certified. 3.91 major GPA. Honors College with thesis. Graduated a semester early for personal reasons explained in personal statement. 3 years of NIH funded org chem research including 1 summer fellowship and 2 winter breaks. Relevant work experience: 5 semesters working as a TA, tutor and recitation leader + 2 semesters of stockroom work and WA for org chem. No publication besides thesis. Multiple presentations: 3 oral at local conferences (won first prize for one of them) + 1 poster. minority and first generation. two undergraduate ACS awards (inorganic and pchem). 3 strong letters of rec (one from UF alumni). Personal statement centered around 3 research groups at UF that I might potentially be interested in. Chem club secretary and social media chair (if it matters lol). Got into higher ranked programs, but UF is definitely in my top 10, so I'm still debating. Good luck to all!"
"New York University","Chemistry","PhD (F19)","Rejected"," E-mail","13 Mar 2019","  3.91","157","160","4.50","720","U","13 Mar 2019","I actually find this hilarious since I got into much higher ranked chemistry programs. They must have figured out that NYU was a safety choice I guess. Anyway, good luck to those still waiting!"
"University Of Utah","Bioscience (Biological Chemistry)","PhD (F19)","Accepted"," E-mail","12 Mar 2019","  3.95","163","167","0.00","","I","13 Mar 2019","No interview."
"UC San Diego","Chemistry","PhD (F19)","Rejected"," E-mail","12 Mar 2019","","","","","","","12 Mar 2019","Got accepted to top 5 programs?  Super weird."
"University Of Alberta","Physical Chemistry","Masters (F19)","Accepted"," E-mail","4 Mar 2019","","","","","","I","12 Mar 2019","Background: 2 co-authored papers, 1 book chapter, 1 patent, 10 conferences, previous research assistantships"
"University Of California, San Diego","Chemistry","PhD (F19)","Rejected"," E-mail","12 Mar 2019","","","","","","A","12 Mar 2019",""
"San Diego State University (SDSU)","Chemistry","PhD (F19)","Other"," Other","12 Mar 2019","","","","","","A","12 Mar 2019","Has anyone heard back from SDSU yet? Their silence is making me worried... File has been under departmental review since Jan 28. I did apply sort of late to the game (Jan 16), but hoping to hear back soon."
"UC San Diego","Chemistry And Biochemistry","PhD (F19)","Rejected"," E-mail","12 Mar 2019","","","","","","U","12 Mar 2019","Waited so long for the decision :("
"UC RIVERSIDE","Chemistry","PhD (F19)","Accepted"," E-mail","1 Feb 2019","","","","","","A","12 Mar 2019","Received Chancellor's Fellowship Award. 3.39 GPA, 3yrs research experience, 2yrs tutor/peer mentor, balance full-time academics with 2 other jobs, above average on general GRE, bombed subject test. Thankful, this program is a hidden gem."
"UC San Diego (UCSD)","Chemistry & Biochemistry","PhD (F19)","Rejected"," E-mail","12 Mar 2019","","","","","","A","12 Mar 2019","3.39 GPA, 3yrs research experience, 2yrs tutor/peer mentor, balance full-time academics with 2 other jobs, above average on general GRE, bombed subject test. Was surprised but I'm thinking it was my subject test that did me in..."
"University Of Florida","Chemistry","PhD (F19)","Rejected"," E-mail","12 Mar 2019","","","","","","I","12 Mar 2019",""
"University Of California, San Diego","Chemistry","PhD (F19)","Rejected"," E-mail","12 Mar 2019","","","","","","I","12 Mar 2019","Received my rejection through email on 12th of March. Best of luck !"
"University Of California, San Diego","Chemistry","PhD (F19)","Rejected"," E-mail","12 Mar 2019","","","","","","I","12 Mar 2019",""
"UC San Diego (UCSD)","Chemistry","PhD (F19)","Rejected"," E-mail","12 Mar 2019","","","","","","A","12 Mar 2019","Kind of surprised as this was my backup school. I got into UCLA and Northwestern which I am more keen on. UCSD does have an advantage of being in an excellent biotech area. Congrats to those who were admitted. 3.3 gpa overall, 3.9 upper division gpa. 67th percentile chem GRE, 61st verbal, 61st quant, 3.5 writing, ACS award, 1 yr of undergrad research exp. with manuscript in prep. 2 years of research in pharmaceutical R&D"
"UC San Diego (UCSD)","Chemistry And Biochemistry","PhD (F19)","Rejected"," E-mail","12 Mar 2019","","","","","","A","12 Mar 2019",":("
"UC San Diego (UCSD)","Chemistry","PhD (F19)","Rejected"," E-mail","12 Mar 2019","","","","","","I","12 Mar 2019",""
"University Of California, San Diego","Chemistry","PhD (F19)","Rejected"," E-mail","12 Mar 2019","","","","","","I","12 Mar 2019",""
"University Of Wisconsin-Madison","Chemistry","PhD (F19)","Wait listed"," E-mail","12 Mar 2019","","","","","","I","12 Mar 2019","Well, cuz I sent them email to ask my application status, they tell me they have sent out 90% acceptances, and I am waitlisted. And they will send all the results by the end of this month.
Please tell them if you don't want to go! Thanks so much!"
"University Of Notre Dame","Chemistry","PhD (F19)","Other"," Other","12 Mar 2019","","","","","","A","11 Mar 2019","Does anyone knows if Notre Dame has already send out all the acceptances? Should I keep waiting?"
"University Of Alberta","Chemistry","PhD (F19)","Accepted"," E-mail","11 Mar 2019","","","","","","I","11 Mar 2019","Finally!"
"New York University","Chemistry","PhD (F19)","Wait listed"," E-mail","10 Mar 2019","","","","","","","10 Mar 2019","To those who are lucky enough to get in, please decline if you don't plan to attend NYU.  Thank you!!!!!"
"Northeastern University","Medicinal Chemistry","PhD (F19)","Other"," E-mail","10 Mar 2019","","","","","","","9 Mar 2019","rejected for PhD, considered for masters - I had already accepted a PhD training offer from another university a month prior to hearing back from NEU. this school is so picky and the program is just alright. had nearly a 4.0 GPA, publication, experience and strong LOR so not exactly sure what kind of candidate they’re looking for, but nonetheless i’m glad i was accepted elsewhere."
