"Stanford University","(Civil) Structural Engineering", Masters (F18),Accepted , E-mail,8 Feb 2018 , n/a,152,168,3.00, n/a,I,6 Aug 2018,""
"Kwame Nkrumah University Of Science And Technology","Civil Engineering", PhD (S18),Accepted , E-mail,22 Jun 2018 , 3.70,156,158,0.00, n/a,I,22 Jun 2018,""
"The University Of Toronto","(Civil) Structural Engineering", Masters (F18),Other , Other,17 Jun 2018,,,,,,I,17 Jun 2018,"To the poster below, may I know your credentials and did you apply for MSc or MEng only? And any relevant work experience in the field?"
"Carleton Univerisity","(Civil) Structural Engineering", Masters (F18),Other , Other,17 Jun 2018,,,,,,I,17 Jun 2018,"Any intel on this course and offers out there?"
"Stanford","Civil And Environmental Engineering, Sustainable Design & Construction (SDC)", Other (F18),Accepted , E-mail,13 Jun 2018 , n/a,161,154,5.00, n/a,A,15 Jun 2018,"Accepted off wait list for Engineer Degree. 
Super late, but generous financial aid package so I'm taking it."
"The University Of Toronto","Civil Engineering", Masters (F18),Accepted , E-mail,14 Jun 2018 , 4.00,162,164,5.00, n/a,A,15 Jun 2018,"Offered Admission into M.Eng program. Applied back in Dec 2017"
"The University Of Alberta","Civil Engineering  Structural", Masters (F18),Accepted , Website,30 May 2018,,,,,,I,30 May 2018,"Meng"
"University Of Utah","Civil Engineering Masters", Masters (F18),Accepted , E-mail,23 May 2018,,,,,,A,23 May 2018,"Had application in since beginning of March. Super excited, definitely will accept the offer."
"The University Of Alabama","Civil Engineering (Construction Engineering And Management)", PhD (F18),Accepted , E-mail,22 Apr 2018 , 3.79,154,152,4.00, n/a,I,23 May 2018,""
"(SUNY) University At Buffalo","Civil Engineering Transportation", Masters (F18),Accepted , E-mail,1 May 2018 , 3.07,142,163,3.00, n/a,I,19 May 2018,""
"Carnegie  Mellon University (CMU)","Civil And Envinromental Engineering", PhD (F18),Accepted , E-mail,18 May 2018 , 3.90,168,154,4.00, n/a,U,18 May 2018,"More than 2 months after the initial admission. Finally got the offer. My area has very limited funding, glad the school is open to work with me through the challenges."
"Stanford University","Civil And Environmental Engineering, Sustainable Design & Construction (SDC)", PhD (F18),Rejected , E-mail,17 May 2018 , 3.70,164,168,5.50, n/a,A,17 May 2018,"Finally. (Email to check ApplyWeb.)"
"Ryerson University","Civil Engineering", Masters (F18),Rejected , E-mail,17 May 2018,,,,,,I,17 May 2018,"Took them 5 months to send a rejection, don’t think a university like this deserves my oil money 🤦🏽‍♂️"
"Purdue University, West Lafayette","(Civil) Structural/Earthquake Engineering", Masters (F18),Rejected , E-mail,16 May 2018,,,,,,I,16 May 2018,""
"McMaster Univeresity","(Civil) Structural Engineering", Masters (F18),Other , Other,15 May 2018,,,,,,O,15 May 2018,"Any word from the department?"
"Carleton Univerisity","(Civil) Structural Engineering", Masters (F18),Other , Other,14 May 2018,,,,,,O,14 May 2018,"Anyone heard from the department? Recommended for Assessment for more than two weeks now."
"The University Of Windsor","Civil (Transportation Engineering)", PhD (F18),Accepted , E-mail,10 May 2018,,,,,,I,10 May 2018,"submitted : 9th March."
"UC Davis","(Civil) Structural Engineering", PhD (F18),Accepted , E-mail,9 May 2018 , n/a,145,167,4.00, n/a,U,9 May 2018,"Notified by email. Very happy. :) HURAAAAYYYYYYYY"
