"University Of Oklahoma","Geology","Masters (F19)","Rejected"," E-mail","26 Mar 2019","","","","","","A","26 Mar 2019","Email from the school to check the portal."
"Texas A & M University (TAMU)","Geology","Masters (F19)","Accepted"," E-mail","28 Feb 2019","  3.84","156","160","4.00","","U","25 Mar 2019","Accepted via email with full funding. Received official acceptance about a week later.
Also had phone interview with 2 professors prior to acceptance."
"Texas A&M University","Geology","Masters (F19)","Rejected"," E-mail","25 Mar 2019","","","","","","A","25 Mar 2019",""
"University Of Wyoming","Geology","Masters (F19)","Rejected"," E-mail","25 Mar 2019","","","","","","A","25 Mar 2019","Emailed advisor, not accepted"
"West Virginia University","Geology","Masters (F19)","Wait listed"," E-mail","22 Mar 2019","","","","","","A","24 Mar 2019","Told to consider other options as there is not a current adviser who wishes to take me on."
"University Of Colorado, Boulder","Geology","Masters (F19)","Rejected"," E-mail","22 Mar 2019","","","","","","A","22 Mar 2019",""
"University Of Nevada, Reno","Geology","PhD (F19)","Other"," Other","20 Mar 2019","","","","","","O","20 Mar 2019","Anybody heard back from geology department?"
"Georgia State University","Geology","Masters (F19)","Rejected"," E-mail","18 Mar 2019","","","","","","I","20 Mar 2019","1st rejection for this round of applications"
"University Of California, Davis","Geology","Masters (F19)","Rejected"," Website","18 Mar 2019","","","","","","A","20 Mar 2019",""
"Northern Illinois University (NIU)","Geology","Masters (F19)","Accepted"," E-mail","28 Feb 2019","","","","","","A","20 Mar 2019","Did not receive funding"
"University Of California At Davis","Geology","Masters (F19)","Rejected"," Website","19 Mar 2019","","","","","","A","18 Mar 2019",""
"Stanford University","Geology","PhD (F19)","Rejected"," E-mail","1 Mar 2019","","","","","","A","18 Mar 2019",""
"San Francisco State University (SFSU)","Geology","Masters (F19)","Accepted"," E-mail","6 Feb 2019","","","","","","A","18 Mar 2019","Received informal acceptance from POI."
"University Of Rhode Island","Geology","Masters (F19)","Accepted"," E-mail","30 Jan 2019","","","","","","A","18 Mar 2019","Received an informal acceptance from POI."
"University Of California, Davis","Geology","PhD (F19)","Rejected"," E-mail","18 Mar 2019","","","","","","A","18 Mar 2019",""
"New Mexico Institute Of Mining And Technology (NMT)","Geology","Masters (F19)","Rejected"," E-mail","14 Mar 2019","  3.67","154","157","4.00","","I","15 Mar 2019","Applied in Nov, 2018 and got an informal reject from POI on 07/03/19, since anticipated funding couldn't be obtained. I was really hopeful"
"The University Of Texas At El Paso","Geology","Masters (F19)","Accepted"," Website","10 Mar 2019","","","","","","A","14 Mar 2019",""
"Colorado School Of Mines","Geology","Masters (F19)","Accepted"," Website","8 Mar 2019","  3.50","160","155","4.50","","A","14 Mar 2019",""
"Western Washington University","Geology","Masters (F19)","Accepted"," E-mail","1 Mar 2019","","","","","","A","11 Mar 2019",""
"University Of Colorado, Boulder","Geology","PhD (F19)","Rejected"," E-mail","9 Mar 2019","","","","","","A","8 Mar 2019",""
"University Of Colorado, Boulder","Geology","Masters (F19)","Other"," Other","8 Mar 2019","","","","","","A","8 Mar 2019","Has anyone heard from the geology department yet? I thought I would hear by now."
"University Of Minnesota (Duluth)","Earth Science, Geology","Masters (F19)","Accepted"," E-mail","8 Mar 2019","  3.09","151","149","4.00","","A","8 Mar 2019","Personal email, fully funded with GA. Had four first author and one second author posters in undergrad, 2 years of work experience, excellent statement of purpose and letters (according to POI) helped counterbalance my average GPA and GRE scores. Wasn't expecting an acceptance anywhere, it ain't over til it's over kids!"
"Baylor University","Geology","Masters (F19)","Accepted"," E-mail","25 Feb 2019","","","","","","A","3 Mar 2019","Attended Prospective Student Weekend in February; good GPA, low GRE, research experience"
"Stanford University","Geology","PhD (F19)","Rejected"," E-mail","1 Mar 2019","","","","","","A","1 Mar 2019","Email sent to check portal. Portal had rejection letter. No interviews, so it was expected."
"Portland State University (PDX)","Geology","Masters (F19)","Rejected"," Website","1 Mar 2019","","","","","","A","1 Mar 2019","Very surprising results. Decent GPA, Good GRE, External Funding, and professor contact. Suppose it matters making research align."
