"Kent State University","Applied Mathematics","PhD (F19)","Wait listed"," E-mail","12 Feb 2019","","","","","","I","27 Mar 2019","I got admission offer and waitlisted for assistantship. Kindly decline asap if you received assistantship offer and decided not to attend. Thanks.."
"University Of Nevada, Reno","Applied Mathematics","Masters (F19)","Other"," Other","26 Mar 2019","","","","","","A","27 Mar 2019","An admissions specialist told me I'd hear back 2-6 weeks after the deadline, but has anyone heard from the math dept. already?"
"University Of North Texas","Mathematics","PhD (F19)","Accepted"," E-mail","9 Jan 2019","  3.50","158","162","4.00","630","A","26 Mar 2019",""
"Indiana University Bloomington","Mathematics","PhD (F19)","Other"," E-mail","27 Mar 2019","","","","","","","26 Mar 2019","To the IU Bloomington poster below.
I'm waitlisted by Vanderbilt. I'll decline Indiana the moment I get Vanderbilt (if I get it). Good luck man. Hope you get it."
"Indiana University Bloomington","Pure Mathematics","PhD (F19)","Wait listed"," E-mail","13 Mar 2019"," ","154","170","4.00","800","I","26 Mar 2019","This is a humble and sincere request: Please kindly decline IU-Bloomington if you are not planning on attending there. IU is my top choice and I really hope I could get in. Thank you very much, and good luck to your applications! :)"
"Bonn International Graduate School","Pure Mathematics","Masters (F19)","Other"," Other","27 Mar 2019","","","","","","O","26 Mar 2019","Does anyone know about the master's program in Bonn and the funding?  Are they done ?"
"SUNY University At Buffalo","Mathematics","PhD (F19)","Wait listed"," E-mail","7 Mar 2019","","","","","","I","26 Mar 2019","I got admission offer but waitlisted for TAship. I really want to go there. Please decline as soon as possible if you are offered TAship that you are not planning to accept!"
"Cornell University","Applied Mathematics","PhD (F19)","Other"," Other","26 Mar 2019","","","","","","A","26 Mar 2019","To the poster below, have you heard back from the waitlist at all? Any communication since the email in feb?"
"Cornell University","Applied Mathematics","PhD (F19)","Wait listed"," E-mail","26 Mar 2019","","","","","","","26 Mar 2019","Plz plz plz decline if you have better offers. I really want to go to Cornell."
"University Of Western Ontario","Pure Mathematics","Masters (F19)","Accepted"," E-mail","26 Mar 2019","  3.77","0","0","0.00","83","I","26 Mar 2019","Accepted with full funding!!! Pretty happy about it, I have been accepted by 2 other institutions but because it is Canada I am consedering this one..."
"University Of Pittsburgh","Mathematics","Masters (F19)","Accepted"," E-mail","22 Mar 2019","  3.50","161","169","4.50","","A","26 Mar 2019","Declined offer; good luck to all those applying!"
"University Of Houston","Mathematics","PhD (F19)","Accepted"," E-mail","22 Mar 2019","","","","","","I","26 Mar 2019","with TA"
"University Of Nebraska-Lincoln","Pure Mathematics","PhD (F19)","Rejected"," E-mail","25 Mar 2019","  3.58","152","168","3.50","670","I","25 Mar 2019",""
