"Rensselaer Polytechnic Institute","Advanced Mechanical Engineering", PhD (F18),Rejected , E-mail,1 Aug 2018 , 3.89,162,166,3.00, n/a,I,1 Aug 2018,""
"University Of Houston","Mechanical Engineering", PhD (F18),Accepted , Website,29 May 2018 , 3.41,154,165,3.50, n/a,U,25 Jul 2018,""
"Shiraz University","Department Of Mechanical And Nuclear Engineering", Masters (S19),Other , Website,16 Jul 2018,,,,,,I,16 Jul 2018,""
"(Tufts University)","Advanced Mechanical Engineering", PhD (F18),Accepted , E-mail,27 Apr 2018 , 3.87,152,163,3.00, n/a,I,13 Jul 2018,"I got a rejection mail in March six weeks later I received another mail informing me that I have been admitted."
"Louisiana State University ( LSU )","Mechanical Engineering", Masters (F18),Accepted , Website,1 Mar 2018 , 3.70,150,160,4.00, n/a,I,6 Jul 2018,""
"McMaster Univeresity","Aerospace & Mechanical Engineering", Masters (F18),Other , Other,28 Jun 2018,,,,,,I,28 Jun 2018,"To the poster below who is admitted to PhD in Mechanical Engineering, when did you apply and did you have an interview with a professor first? Thanks"
"York University Toronto Canada","Mechanical Engineering", Masters (F18),Other , Other,27 Jun 2018 , n/a,159,161,4.50, n/a,I,27 Jun 2018,"This is seriously getting out of hand. Only two months left for fall and they are yet to announce anything. I can't mail them since it is explicitly stated to have patience and wait. Anyone contacted them yet?"
"Murray State University","Mechanical Engineering", PhD (S19),Other , Other,24 Jun 2018,,,,,,A,24 Jun 2018,""
"University Of British Columbia","Advanced Mechanical Engineering", PhD (F18),Rejected , E-mail,19 Jun 2018,,,,,,?,20 Jun 2018,""
"University Of British Columbia (UBC Vancouver)","Advanced Mechanical Engineering", PhD (F18),Rejected , E-mail,19 Jun 2018,,,,,,I,19 Jun 2018,""
"University Of British Columbia (UBC Vancouver)","Advanced Mechanical Engineering", Masters (F18),Rejected , E-mail,19 Jun 2018,,,,,,I,18 Jun 2018,""
"ีUniversity Of Southern California (USC) - Viterbi School Of Engineering","Aerospace And Mechanical Engineering (Computational Fluid And Solid Mechanics)", Masters (F18),Rejected , E-mail,7 Jun 2018 , 3.20,157,156,5.50, n/a,A,7 Jun 2018,""
"University Of British Columbia (UBC Vancouver)","Advanced Mechanical Engineering", Masters (F18),Other , E-mail,6 Jun 2018,,,,,,I,6 Jun 2018,"I applied on 21st December 2017"
"University Of British Columbia (UBC Vancouver","Advanced Mechanical Engineering", PhD (S18),Wait listed , Other,5 Jun 2018,,,,,,I,5 Jun 2018,"When did you apply for MSc in Mechanical Engineering at UBC Vancouver?"
"Purdue University, West Lafayette","Advanced Mechanical Engineering", PhD (F18),Rejected , E-mail,5 Jun 2018 , 3.89,162,166,3.00, n/a,I,5 Jun 2018,""
"University Of British Columbia (UBC Vancouver","Advanced Mechanical Engineering", Masters (F18),Other , E-mail,5 Jun 2018,,,,,,I,5 Jun 2018,"Any News from the admission office ?"
"University Of British Columbia (UBC","Advanced Mechanical Engineering", Masters (F18),Other , Other,4 Jun 2018,,,,,,I,4 Jun 2018,"Any news about tentative result dates please?"
"McMaster Univeresity","Mechanical Engineering", PhD (F18),Accepted , E-mail,2 Jun 2018,,,,,,I,2 Jun 2018,"Super Happy ..."
"Northeastern University","Advanced Mechanical Engineering", PhD (F18),Other , Other,30 May 2018,,,,,,O,30 May 2018,"Nothing yet. I have no idea why they didn't release the results yet. They are so irresponsible. Any one anything ???"
"The University Of Toronto","Advanced Mechanical Engineering.", Masters (F18),Rejected , E-mail,25 May 2018,,,,,,I,25 May 2018,"No supervisor"
"Purdue University, West Lafayette","Advanced Mechanical Engineering", PhD (F18),Other , E-mail,25 May 2018,,,,,,I,25 May 2018,"To the poster below,
I was cantacted by the professor, C. H. L.(sorry for giving you the initials because of privacy). I hope this helps"
"Purdue University, West Lafayette","Advanced Mechanical Engineering", PhD (F18),Other , Other,25 May 2018,,,,,,I,25 May 2018,"To the poster below. I have been admitted to Direct PhD in mid-March. But, unfortunately, I am not able to find any professor who could give me RA position. I am no other funding options so I can only join if some RAship I get. Kindly, let me who was that professor who offered you RAship? I would be grateful for your help.
Thanks"
"Purdue University, West Lafayette","Advanced Mechanical Engineering", PhD (F18),Other , E-mail,24 May 2018 , 3.91,158,166,3.00, n/a,I,24 May 2018,"I got an email today from a professor that I am interested in RA position or not. Refused his offer because I already accepted other offer. I hope this helps for someone who are still waiting for purdue ME graduate program."
"University Of Minnesota - Duluth","Mechanical Engineering", Masters (F18),Accepted , E-mail,22 May 2018 , n/a,156,158,4.50, n/a,I,24 May 2018,"Accepted with 100% tuition waiver + assistantship"
"Purdue University, West Lafayette","Advanced Mechanical Engineering", PhD (F18),Rejected , E-mail,23 May 2018 , 3.49,155,170,2.50, n/a,I,23 May 2018,""
"University Of Pittsburgh","Advanced Mechanical Engineering", PhD (F18),Other , Other,17 May 2018,,,,,,O,17 May 2018,"Any news from the ME Dep.?"
"North Eastern University (NEU)","Mechanical Engineering", PhD (F18),Other , Other,16 May 2018,,,,,,O,16 May 2018,"Application of NEU will remain under committee for next 2 decades"
"The University Of Toronto","Mechanical And Industrial Engineering (MIE)", PhD (F18),Rejected , E-mail,15 May 2018,,,,,,I,15 May 2018,""
"Purdue University, West Lafayette","Advanced Mechanical Engineering", Masters (F18),Accepted , E-mail,17 Apr 2018,,,,,,O,11 May 2018,"To those who have been admitted to the MSME program, has anyone received an RA ship for the first semester. What is the procedure to apply ?"
"Northeastern University (NEU)","Advanced Mechanical Engineering", PhD (F18),Other , Other,11 May 2018,,,,,,O,11 May 2018,"Just F U C K Northeastern.
A note for u who wants to apply to the Northeastern for the nexr year.
DO NOT APPlY
It's 11th May and they don't release the result yet :))))))))))))))))))))))))))))
They just got an application fee and then they f u c ked up us"
"University Of Windsor","Mechanical Engineering", Masters (F18),Accepted , Website,11 May 2018 , n/a,159,161,4.50, n/a,I,11 May 2018,"Excellent undergrad GPA for the final two years. TOEFL score upwards of 110. Solid 1.5 years work experience. No words on funding though. Does anyone know when they will announce the entrance scholarship recipient list or graduate assistantship awards?"
"Northeastern University","Mechanical Engineering", PhD (F18),Other , Other,9 May 2018,,,,,,O,9 May 2018,"NEU mechanical dept. is so fu**ing irresponsible. It is already May 9. I have a I20 from another university. Should I apply for the visa or wait for NEU?"
"Northeastern & Pittsburgh Universities","Advanced Mechanical Engineering.", PhD (F18),Other , Other,9 May 2018,,,,,,I,9 May 2018,"Has anyone heard back anything or had interview?"
"ีUniversity Of Maryland - College Park (UMD)","Advanced Mechanical Engineering", PhD (F18),Rejected , E-mail,4 May 2018 , 3.50,155,170,2.50, n/a,I,7 May 2018,""
"San Jose State University","Mechanical Engineering", Masters (F18),Accepted , Website,3 May 2018 , 3.30,156,162,5.00, n/a,U,6 May 2018,""
"University Of Utah","Advanced Mechanical Engineering.", PhD (F18),Other , Other,5 May 2018 , 3.10,151,168,3.00, n/a,I,4 May 2018,"Did University of Utah start rolling out Mechanical Engineering admits for fall'18?"
"UCSD (University Of California, San Diego)","Advanced Mechanical Engineering", PhD (F18),Rejected , E-mail,4 May 2018,,,,,,I,4 May 2018,"Rejected after such a long wait"
"North Eastern University (NEU)","Mechanical And Induatrial Engineering", PhD (F18),Other , Other,3 May 2018,,,,,,O,3 May 2018,"To the post below, I also did not received the result. I emailed them and they told me my application was still under review."
"University Of British Columbia (UBC Vancouver","Advanced Mechanical Engineering.", Masters (F18),Other , E-mail,3 May 2018,,,,,,I,3 May 2018,"Any News from the admission office of the university?"
"Purdue","Advanced Mechanical Engineering", PhD (F18),Wait listed , E-mail,3 May 2018,,,,,,O,3 May 2018,"Anyone accepted of the wait list ? Any idea when we could get a decision"
"UCSD","Aerospace & Mechanical Engineering", PhD (F18),Other , Other,2 May 2018,,,,,,O,2 May 2018,"Any updates. Haven't seen any reject posts here yet. What are they waiting for ? Why don't they just sent out rejects instead of keeping us waiting"
"Hochschule Esslingen","Design And Development In Automotive And Mechanical Engineering (DDM)", Masters (F18),Accepted , E-mail,24 Apr 2018,,,,,,I,2 May 2018,"1.5 year M.Eng program"
"Dalhousie University","Mechanical Engineering", Masters (F18),Rejected , E-mail,2 May 2018 , 3.45,159,161,0.00, n/a,I,2 May 2018,"Shocker. I feel my professor who was supposed to give me LOR fu**ed me here. Anyways, Nova Scotia doesn't hold much opportunities post graduation and hopefully I will find a better university."
"Northeastern University (NEU)","Mechanical And Industrial Engineering", PhD (F18),Other , Other,2 May 2018,,,,,,I,2 May 2018,"They supposed to give their decision within May,1. But still no decision. Did anyone get a decision?"
"(SUNY) University At Buffalo","Advanced Mechanical Engineering", PhD (F18),Other , Other,29 Mar 2018,,,,,,I,1 May 2018,"on the waitlist,still nothing is changed should I forget about that?"
"McGill University (Montreal, Canada)","Advanced Mechanical Engineering", Masters (F18),Rejected , E-mail,30 Apr 2018,,,,,,I,30 Apr 2018,""
"University At Buffalo – SUNY","Advanced Mechanical Engineering", PhD (F18),Accepted , E-mail,27 Apr 2018,,,,,,I,30 Apr 2018,"Off the waitlist with funding... couldn’t be happier... good luck to all as well!"
"UCSD (University Of California, San Diego)","Advanced Mechanical Engineering", PhD (F18),Other , E-mail,29 Apr 2018,,,,,,O,29 Apr 2018,"Upon inquiry, informed that they have made most of their offers and that they will be giving remaining offers on a rolling basis till June."
"The University Of Southern California (USC)","Aerospace & Mechanical Engineering (Dynamics & Control)", Masters (F18),Rejected , E-mail,26 Apr 2018 , 7.02,155,167,4.00, n/a,I,29 Apr 2018,"GPA on 10 scale."
"University Of Notre Dame","Aerospace & Mechanical Engineering", PhD (F18),Rejected , Postal Service,29 Apr 2018 , 3.84,167,160,5.00, n/a,A,29 Apr 2018,"The process was too slow. The staffs were not helpful"
"(University Of Virginia) UVA","Bioengineering Thru Mechanical Engineering", PhD (F18),Rejected , Website,24 Apr 2018,,,,,,I,27 Apr 2018,""
"University Of Wisconsin - Madison","Advanced Mechanical Engineering", PhD (F18),Accepted , E-mail,26 Apr 2018,,,,,,I,26 Apr 2018,"Long wait ends here.
Funded Phd."
"ีืUniversity Of Central Florida (UCF)","Advanced Mechanical Engineering", PhD (F18),Other , Website,26 Apr 2018 , 3.59,153,170,3.00, n/a,I,26 Apr 2018,"Did anyone hear from ucf? I am still waiting for it's decision."
"Texas Tech University (TTU), Lubbock, Texas","Mechanical Engineering", PhD (F18),Accepted , E-mail,10 Apr 2018 , 3.44,144,159,3.00, n/a,I,25 Apr 2018,"Interview: 7 April, Acceptance: 10 April, Offer letter: 17 April, Received i20: 24 April"
"University Of Wisconsin - Madison","Advanced Mechanical Engineering", Masters (F18),Rejected , E-mail,24 Apr 2018 , 3.65,163,170,4.00, n/a,I,25 Apr 2018,"""limited resources"" blah blah blah...standard rejection letter"
"Purdue University, West Lafayette","Advanced Mechanical Engineering", PhD (F18),Wait listed , E-mail,25 Apr 2018,,,,,,I,25 Apr 2018,"I asked one of the admitted student and he told me that the deadline to accept offer is 1st June. So may be we have to wait that long. Most of the universities have April 15th deadline, so if they didn't reject purdue yet means they are going to Purdue Only. And ofcourse, It is too late to expect any good news. Sigh!"
"Michigan State  University","Mechanical Engineering", Masters (F18),Accepted , E-mail,24 Apr 2018,,,,,,A,24 Apr 2018,""
"Purdue University, West Lafayette","Mechanical Engineering", Masters (F18),Wait listed , Other,24 Apr 2018,,,,,,I,24 Apr 2018,"Hello, when do Purdue send their final admission offers? I've been waitlisted for MSME. Should I wait for an offer? Or move on to other choices? It's nearly end of April now.

Thanks."
"UCSD (University Of California, San Diego)","Advanced Mechanical Engineering", PhD (F18),Other , Other,24 Apr 2018,,,,,,I,24 Apr 2018,"Is anybody still waiting for the results? Mech. PhD. 
Any expected date?"
"University Of Wisconsin - Madison","Advanced Mechanical Engineering", PhD (F18),Other , Other,24 Apr 2018,,,,,,I,24 Apr 2018,"To the poster below... yes I had an interview last Monday. Expecting the final call by 1 May. Area - Thermal/Fluid"
"Ohio State (OSU)","Aerospace & Mechanical Engineering", Masters (F18),Accepted , E-mail,13 Mar 2018,,,,,,A,24 Apr 2018,"Got GRA position offer 4/6/2018. Accepted."
"UCSD (University Of California, San Diego)","Mechanical Engineering", Masters (F18),Accepted , E-mail,11 Apr 2018,,,,,,I,23 Apr 2018,"My admission decision is declared via mail on 11th April. However, they told me that they will send the official admission but there is no change in decision in system portal. Do I need to take an action and ask them on whether there is a problem or not?"
"TAMU (Texas A & M University) College Station","Advanced Mechanical Engineering", PhD (F18),Rejected , Website,22 Apr 2018,,,,,,U,23 Apr 2018,""
"University Of Wisconsin - Madison","Advanced Mechanical Engineering", PhD (F18),Other , Other,23 Apr 2018,,,,,,I,23 Apr 2018,"to the poster below.... i didn;t go through any interviews. You? your research area? Mine is Thermal sciences...."
"University Of Wisconsin - Madison","Advanced Mechanical Engineering", PhD (F18),Other , Other,23 Apr 2018,,,,,,I,23 Apr 2018,"To the poster below.. U Wisconsin - Madison... Did you go through any interviews?"
"UC Berkeley (UCB)","Advanced Mechanical Engineering", PhD (F18),Other , Other,23 Apr 2018,,,,,,I,23 Apr 2018,"Is there anybody waiting for a result from UCB ME MS/PhD program? The last posting was someone got accepted around April 15th."
"The University Of Wisconsin Madison","Mechanical Engineering", PhD (F18),Other , Other,23 Apr 2018,,,,,,I,23 Apr 2018,"To the post below.... I am also waiting to hear from them But admission office say that by May they will give results. It is too late..... but I am waiting like you?"
"McGill University","Mechanical Engineering", PhD (F18),Rejected , Website,20 Apr 2018,,,,,,I,22 Apr 2018,""
"University At Buffalo","Mechanical Engineering", PhD (F18),Wait listed , E-mail,29 Mar 2018,,,,,,I,22 Apr 2018,"At this time, your Fall 2018 application status has now been changed to “Wait List."""
"University Of Wisconsin - Madison","Advanced Mechanical Engineering", PhD (F18),Other , Website,22 Apr 2018,,,,,,I,22 Apr 2018,"Did anybody hear anything from Wisconsin-Madison? Mech PhD"
"University At Bufallo","Advanced Mechanical Engineering", PhD (F18),Other , Other,22 Apr 2018,,,,,,I,22 Apr 2018,"Any has received any news from this Uni? wow I cannot believe they take so long... what about the 15th of April agreement? ... if someone has received some info please advise. Thanks!"
