Shiraz University,Department Of Mechanical And Nuclear Engineering, Masters (S19),Other , Website , 16 Jul 2018,,,,, ,I,16 Jul 2018,,
Penn State (Pennsylvania State University) PSU,Department Of Mechanical And Nuclear Engineering, PhD (F18),Accepted , E-mail , 26 Feb 2018,,,,, ,I,16 Apr 2018,I have rejected today their offer of TAship (3/4th) since I was not able to find suitable professor with whom I may work. Some prof in Thermal sciences don't accept non-US students.,
"University Of Illinois At Urbana-Champaign (UIUC), Etc","Nuclear Plasma And Radiological Engineering, Nuclear Engineering",Other (F18),Other ,Other,10 Apr 2018,,,,, ,O,10 Apr 2018,"I am wondering how many slots are lefted for Nuclear Engineering Programs at this moment. If somebody who hold multiple admission letters from Nuclear Engineering programs, please make decisions or release them. :0",
Penn State (Pennsylvania State University),Mechanical And Nuclear Engineering, PhD (F18),Rejected , E-mail , 29 Mar 2018 ,3.8,155,170,3, n/a,I,30 Mar 2018,Why so late ? lol,
University Of Utah,Nuclear & Radiological Engineering & Medical Physics, PhD (F18),Other , Other , 28 Mar 2018,,,,, ,A,28 Mar 2018,"Offered GRA in lab of choice (no TA, ever) with full funding. Accepted offer.
Will decline offers from Arizona State (phys PhD), Texas at Arlington (phys PhD) and Colorado School of Mines (Nucl.). Glad it's finally over. Good luck to the rest of you.",
University Of Wisconsin- Madison,Nuclear Engineering And Engineering Physics, Masters (F18),Other , Other , 27 Mar 2018,,,,, ,A,27 Mar 2018,"To the post below : ""other students at the UWisc Nuclear Engineering and Engineering Physics visiting weekend, has anyone gotten a firm RA offer?""

I have not heard anything back yet either",
"University Of Michigan, Ann Arbor",Nuclear Engineering And Radiological Science, PhD (S18),Accepted , E-mail , 23 Mar 2018 ,3.83,161,161,5.5, n/a,A,26 Mar 2018,Accepted to the Fusion & Plasma track with full funding after visiting with the department a week prior. Veteran with 6 years of professional engineering experience.,
"University Of Michigan, Ann Arbor",Nuclear Engineering, PhD (F18),Accepted , E-mail , 23 Mar 2018 ,3.78,160,164,4.5, n/a,A,24 Mar 2018,"Accepted after visiting about a week ago. Accepted for plasma physics research. Full financial offer, tuition & fees waived, health insurance included. Same person who posted about the visit previously.",
"University Of Michigan, Ann Arbor",Nuclear Engineering, PhD (F18),Accepted , E-mail , 23 Mar 2018,,,,, ,A,24 Mar 2018,"Accepted after visiting about a week ago. Accepted for plasma physics research. Full financial offer, tuition",
ีUniversity Of Wisconsin - Madison,Nuclear Engineering And Engineering Physics, PhD (F18),Other , Other , 24 Mar 2018,,,,, ,A,24 Mar 2018,"To other students at the UWisc Nuclear Engineering and Engineering Physics visiting weekend, has anyone gotten a firm RA offer?",
TAMU (Texas A&M University) College Station,Nuclear Engineering, PhD (F18),Accepted , E-mail , 24 Mar 2018 ,3.51,150,147,3.5, n/a,I,23 Mar 2018,,
Illinois At Urbana Champaign (UIUC),Nuclear Engineering, PhD (F18),Accepted , E-mail , 2 Mar 2018 ,3.97,157,167,3.5, n/a,I,19 Mar 2018,$2222 monthly stipend + RA possibility for 2 months,
NC State (NCSU),Nuclear Engineering, Masters (F18),Rejected , E-mail , 5 Mar 2018 ,2.98,0,0,99.99, n/a,A,14 Mar 2018,,
Illinois At Urbana Champaign (UIUC),Nuclear Plasma And Radiological Engineering, PhD (F18),Accepted , E-mail , 12 Mar 2018,,,,, ,U,12 Mar 2018,"Applied to PhD, got an offer for MS with 50% funding. 
To posters below, has anyone done the calculation or somehow knows whether we can live off with just the stipend alone?",
Eidgenössische Technische Hochschule Zürich (ETH Zurich),Nuclear Engineering, Masters (F18),Accepted , E-mail , 12 Mar 2018,,,,, ,I,12 Mar 2018,"Belgian student. Had an internship at ETH, and great LOR.",
