"Louisiana State University (LSU)","Petroleum Engineering","Masters (F19)","Rejected"," E-mail","26 Mar 2019","","","","","","A","26 Mar 2019",""
"Colorado School Of Mines","Petroleum Engineering","Masters (F19)","Accepted"," E-mail","23 Mar 2019","","","","","","I","23 Mar 2019",""
"University Of Texas At Austin","Petroleum Engineering","PhD (F19)","Accepted"," E-mail","11 Feb 2019","  3.79","152","161","4.00","","A","21 Mar 2019","Stipend+fellowship"
"University Of Texas At Austin","Petroleum Engineering","PhD (F19)","Accepted"," E-mail","7 Mar 2019","  4.00","156","157","4.00","","U","9 Mar 2019","Did anyone get accepted with funding from the department?"
"University Of Texas At Austin","Petroleum Engineering","Masters (F19)","Accepted"," E-mail","8 Mar 2019","","","","","","U","8 Mar 2019",""
"University Of Texas At Austin","Petroleum Engineering","Masters (F19)","Accepted"," E-mail","8 Mar 2019","  3.72","157","160","4.00","","I","8 Mar 2019",""
"Texas A&M University","Petroleum Engineering","Masters (F19)","Accepted"," E-mail","1 Mar 2019","  3.68","154","168","3.50","","I","7 Mar 2019","Including a fellowship offer worth USD 4,000 and in-state tuition rate. Have 2-year work exp in O&G industry and 2-year work exp in consulting company. One relevant publication."
"University Of Tulsa","Petroleum Engineering","Masters (F19)","Other"," E-mail","1 Mar 2019","  3.72","157","160","4.00","","I","4 Mar 2019","Was offered an admit to the ME program as opposed to the MS program which I applied for. It seems they do this every year. Will not be accepting."
"University Of Southern California","Petroleum Engineering","Masters (F19)","Accepted"," Website","8 Feb 2019","  3.68","154","168","3.50","","I","28 Feb 2019","Got an email to check the website. Later informed that I am considered as the final candidate to receive scholarship. I have to submit essays to advance to the next phase by March 1. The result will be notified before March 30.

I have one relevant publication, 2-year working experience as a reservoir engineering, and now working as a consultant for 1.5 year."
"Texas A&M University","Petroleum Engineering","Masters (F19)","Accepted"," Website","28 Feb 2019","  3.72","157","160","4.00","","I","28 Feb 2019",""
"Texas Tech University","Petroleum Engineering","Masters (F19)","Accepted"," E-mail","13 Feb 2019","","","","","","I","14 Feb 2019",""
"University Of Pittsburgh","Chemical And Petroleum Engineering","PhD (F19)","Interview"," E-mail","3 Feb 2019","","","","","","I","7 Feb 2019",""
"Louisiana State University","Petroleum Engineering","Masters (F19)","Accepted"," Website","5 Feb 2019","","","","","","I","5 Feb 2019",""
"University Of Kansas","Chemical And Petroleum Engineering","PhD (F19)","Accepted"," E-mail","4 Feb 2019","","","","","","U","5 Feb 2019","Didn't mention anything about funding, asked department but asked me to wait for a month"
"University Of North Dakota","Petroleum Engineering","PhD (F19)","Rejected"," Website","15 Jan 2019","","","","","","I","16 Jan 2019",""
"TAMU (Texas A&M University) College Station","Petroleum Engineering","PhD (S19)","Accepted"," Website","21 Sep 2018","  3.84","150","166","3.00","","I","24 Sep 2018","No info about funding yet."
"King Fahd University Of Petroleum And Minerals (KFUPM)","Petroleum Engineering","PhD (F18)","Accepted"," E-mail","10 Jan 2018","  3.80","144","156","3.50","","I","16 May 2018","Still expecting visa approval"
"Louisiana State University (LSU)","Petroleum Engineering","Masters (F18)","Accepted"," E-mail","9 May 2018","  3.22","148","157","4.00","","A","14 May 2018",""
"Colorado School Of Mines (CSM)","Petroleum Engineering","Masters (F18)","Rejected"," E-mail","23 Mar 2018","  3.98","157","168","4.00","","U","30 Apr 2018","Notified to check portal for decision. ""After a thorough review of your application packet, the faculty in Petroleum Engineering has denied your request for admittance for Fall 2018."""
"The University Of Tulsa","Petroleum Engineering","Masters (F18)","Accepted"," E-mail","8 Feb 2018","  3.98","157","168","4.00","","U","30 Apr 2018","BS in Mechanical Engineering. Some research experience (1 year). Non-thesis Master's degree, no funding."
"University Of Texas At Austin (UT Austin)","Petroleum Engineering","Masters (F18)","Accepted"," E-mail","6 Feb 2018","  3.98","157","168","4.00","","U","30 Apr 2018","Bachelor's in Mechanical Engineering. Some research experience (1 year). Fellowship notification arrived early April. First year full tuition waived plus stipend"
"Texas A&M University (College Station)","Petroleum Engineering","Masters (F18)","Accepted"," Website","26 Apr 2018","  3.87","160","166","4.00","","I","26 Apr 2018",""
"Texas A&M University (TAMU)","Petroleum Engineering","Masters (F18)","Other"," Other","19 Apr 2018","","","","","","I","19 Apr 2018","Has anyone heard from TAMU and Texas Austin? Its been a long wait for me..."
"University Of Texas At Austin","M.Sc Petroleum Engineering","Masters (F18)","Other"," Other","14 Apr 2018","","","","","","I","14 Apr 2018","Has anyone heard from them? I have been waiting for a while now."
"The University Of Houston","Petroleum Engineering","Masters (F18)","Accepted"," E-mail","3 Sep 2018","  3.82","160","166","4.00","","I","7 Apr 2018","With 50% Tuition fee funding"
"Colorado School Of Mines (CSM)","Petroleum Engineering","Masters (F18)","Accepted"," E-mail","30 Mar 2018","  3.74","144","167","4.00","","A","30 Mar 2018",""
"University Of Texas At Austin (UT Austin)","Petroleum Engineering","Masters (F18)","Accepted"," Website","27 Mar 2018","","","","","","I","27 Mar 2018","No word on funding yet"
"Colorado School Of Mines (CSM)","Petroleum Engineering","Masters (F18)","Rejected"," E-mail","27 Mar 2018","  3.87","160","166","4.00","","I","27 Mar 2018",""
