McMaster,A.M Statistics, Masters (F18),Accepted , E-mail,3 Aug 2018,,,,,,I,5 Aug 2018,"Got an email with an offer of admission, fully funded (including TA-ship). Very excited! Although I'm probably gonna ask for a deferral..."
Kansas State University,Statistics, Masters (F18),Other , Other,2 Jun 2018,,,,,,A,2 Jun 2018,so any updates on assistantships/funding information being sent out?
The University Of Toronto,Statistics, Masters (F18),Other , Website,18 May 2018,,,,,,O,18 May 2018,Did anyone ever receive an email after their decision changed to Decision Made? A week later and I'm still waiting...
McGill,A.M Statistics, Masters (F18),Rejected , E-mail,17 May 2018,,,,,,I,17 May 2018,"Received an e-mail to check my portal, where a generic rejection letter had been uploaded. Had been expecting it for a while now, honestly. Congrats to those who got in!"
Florida State (FSU),A.M. Statistics, PhD (F18),Other , Other,17 May 2018,,,,,,O,17 May 2018,maybe something wrong happened to their email system
Simon Fraser University (SFU),A.M Statistics, PhD (F18),Wait listed , Postal Service,17 May 2018,,,,,,O,17 May 2018,"To the poster below, I'm still in the waiting list. I've emailed them a month ago, and they told me there is very few PhD position this year and nearly no one is actively finding a PhD student at this time. The only hope is someone drop the offer."
University California Riverside,A.M. Statistics, PhD (F18),Rejected , E-mail,17 May 2018,,,,,,A,17 May 2018,
Sfu (simon Fraser),A.M Statistics, PhD (F18),Wait listed , Website,12 Apr 2018,,,,,,I,15 May 2018,Anyone has idea about wait list admission?Did you get admission or not when you are in wait list.
Sfu (simon Fraser),A.M Statistics, PhD (F18),Wait listed , Website,4 Dec 2018,,,,,,I,15 May 2018,Anyone has idea about wait list admission?Did you get admission or not when you are in wait list.
Kansas State University (KSU),A.M Statistics, PhD (F18),Other , E-mail,13 May 2018,,,,,,I,13 May 2018,"To the poster below: No, I haven't heard anything about the funding yet. They are not even replying to my emails. If anyone gets any information regarding funding, please do post here. While the admissions are getting closed elsewhere, being in such a precarious situation in the middle of May is quite unfortunate."
The University Of Toronto,A.M Statistics, PhD (F18),Other , Postal Service,12 May 2018,,,,,,O,12 May 2018,"Well, it's so funny that my status has turned to decision made for a whole day but I didn't get any more information. I've never been such eager for a rejection........ lol"
Kansas State University,Statistics, Masters (F18),Accepted , E-mail,12 May 2018,,,,,,A,12 May 2018,Has anyone heard back about funding?
The University Of Arkansas  - Fayetteville,Mathematics And Statistics, Masters (F18),Other , Other,12 May 2018,,,,,,O,12 May 2018,Has anyone heard back from the Mathematical Sciences Department at all?
The University Of Toronto,A.M Statistics, PhD (F18),Other , Postal Service,11 May 2018,,,,,,O,11 May 2018,"To the poster below, my status became ""decision made"" as well, but don't know what is the decision....maybe rejection is coming soon....
"
McGill University,Mathematics And Statistics, Masters (F18),Accepted , E-mail,11 May 2018,,,,,,I,11 May 2018,"To the posters below that wonder for the MSc in Mathematics and Statistics, I've received my official letter back in February, just after being e-mailed by my supervisor."
UofT,Master Of Statistics, Masters (F18),Rejected , Website,11 May 2018,,,,,,I,11 May 2018,Yes my status changed to decision made too. I think my rejection letter should come today....
The University Of Toronto,Statistics, Masters (F18),Other , E-mail,11 May 2018,,,,,,O,11 May 2018,"So did everyone else's status change to Decision Made?
Rejection email finally coming.."
McMaster,Applied Statistics, Masters (F18),Rejected , E-mail,10 May 2018 ,3.72,166,162,4.5, n/a,O,10 May 2018,"3.72 overall GPA in undergrad, 3.95 in final year of study. Good GRE scores. Unfortunately I don't know a professor in the department and I feel like this might have held me back."
Virginia Polytechnic And State University (Virginia Tech),Statistics, Masters (F18),Rejected , Website,9 May 2018 , n/a,157,163,4.5, n/a,A,10 May 2018,Had to email the department in order to get an update.
McMaster,Applied Statistics, Masters (F18),Other , Other,8 May 2018,,,,,,O,8 May 2018,It's been almost three and a half months since the deadline and my application is still pending. My email inquiry was ignored. Whats going on!?!?
York University Canada,Mathematics & Statistics, Masters (F18),Accepted , Website,26 Apr 2018,,,,,,?,5 May 2018,no funding. but I accepted the offer.
UC Riverside,Applied Statistics, PhD (F18),Rejected , Other,4 May 2018,,,,,,U,4 May 2018,I called to check it & it is a rejection. how long they let me wait!
The University Of Toronto,Master Of Statistics, Masters (F18),Rejected , Other,4 May 2018,,,,,,I,4 May 2018,agreed that we should have all been rejected. But I am still upset that they did not notify us the result.
The University Of Toronto,Statistics, Masters (F18),Rejected , E-mail,3 May 2018,,,,,,O,3 May 2018,"Just email the faculty for people who are still waiting for this masters, I just emailed and found out I've been rejected and that there will be no more offers of admission sent for this masters."
University Of Wisconsin–Madison (UW Madison)dison,Statistics, Masters (F18),Rejected , E-mail,3 May 2018 ,3.96,161,168,3.5, n/a,U,3 May 2018,"Finally received my “Email General Applicant Deny”. Their admission process is so opaque, not worthy of the efforts."
University Of Wisconsin - Madison,A.M Statistics, PhD (F18),Rejected , E-mail,3 May 2018,,,,,,I,3 May 2018,This is the fifth rejection email from them????
The University Of Toronto,A.M Statistics, Masters (F18),Other , Other,2 May 2018,,,,,,O,2 May 2018,I've accepted that we'll never hear back at this point
The University Of Toronto,A.M Statistics, Masters (F18),Other , Other,2 May 2018,,,,,,A,2 May 2018,I also still haven't received any notifications. Still under review.
University Of Toronto (uoft),A.M Statistics, Masters (F18),Other , E-mail,2 May 2018,,,,,,I,2 May 2018,How come I still do not have any replied? How about you guys?
McGill University,Statistics, Masters (F18),Other , Other,2 May 2018,,,,,,?,2 May 2018,Also still in review...
London School Of Economics,MSc Statistics, Masters (F18),Wait listed , E-mail,25 Apr 2018,,,,,,I,29 Apr 2018,"The course you applied for has reached its quota. Your application has been placed in a reserve group which will be re-considered should a place become available. You will be notified of a final decision after August 12th.

I am wondering how it is likely to receive the offer after 12th Aug, also what is the difference between a reserve group & rejection?"
University Of Minnesota - Twin Cities (UMN),A.M Statistics, PhD (F18),Other , Other,28 Apr 2018,,,,,,O,28 Apr 2018,"Has anyone heard from UMN?
Still 'Awaiting Program Decision' status...
Not rejected nor waitlisted.."
UC Irvine,Statistics, PhD (F18),Rejected , E-mail,27 Apr 2018,,,,,,U,27 Apr 2018,I have been waiting for this desired program so long. ^^.^^
"University Of Kentucky, Lexington",A.M Statistics, Masters (F18),Other , Other,26 Apr 2018,,,,,,?,26 Apr 2018,Anybody hear from this school?
McGill University,Mathematics And Statistics, Masters (F18),Rejected , Website,26 Apr 2018,,,,,,A,26 Apr 2018,Emailed my POI a few days ago and he told me he decided not to take on any new students this year. Emailed other profs too and they said that nearly all spots have been filled already
Imperial College London,Statistics, Masters (F18),Accepted , E-mail,26 Apr 2018,,,,,,I,26 Apr 2018,Got email to check portal.
McGill University,Mathematics And Statistics, Masters (F18),Other , Other,26 Apr 2018,,,,,,I,26 Apr 2018,Any news from this program? McGill is killing me... Why they do not give me a decision :(
Kansas State University,M.S In Statistics, Masters (F18),Accepted , E-mail,24 Apr 2018,,,,,,A,24 Apr 2018,"To the poster below, I was told through email shortly before April 15th that they're going through funding structure changes and as a result, GTA offers will come out pretty late....I'm sure you were told that but yeah, I'm growing impatient as well... I'll post here immediately if I hear back about funding (although as a masters applicant, my chances are lower than yours..)"
Kansas State University (KSU),A.M Statistics, PhD (F18),Other , Other,24 Apr 2018,,,,,,I,24 Apr 2018,"Is there anyone who actually received admission with GTA offer from KSU? I am actually confused. I am waiting for their decision on providing GTA offer for so long now that I am losing all my hope. If there is anyone who already got admitted to KSU, please share your thoughts on this unimaginable amount of delay."
University Of Toronto,A.M Statistics, Masters (F18),Other , Other,23 Apr 2018,,,,,,O,23 Apr 2018,"Haven't heard back yet from UofT, McGill, or Alberta.
Pretty ridiculous, hopefully I'm on the waitlist.
Rejected from Waterloo last week.
Accepted to McMaster and Guelph in March."
UC Davis,A.M Statistics, PhD (F18),Other , Other,23 Apr 2018,,,,,,O,23 Apr 2018,Have anyone heard from UC Davis? emailed them and no one replied. Are they still recruiting F18 PhD? Thanks in advance
UCSB,Statistics, PhD (F18),Other , Other,23 Apr 2018,,,,,,A,23 Apr 2018,Has anyone heard from UCSB yet??? It’s really late and they ignored my email from over a month ago
Rutgers (State University Of New Jersey) New Brunswick,A.M Statistics, Masters (F18),Accepted , E-mail,18 Apr 2018 ,3.33,159,166,4, n/a,A,21 Apr 2018,"Called and was told all fall admissions had been filled. After an hour later, got an email from the department saying I was admitted."
McGill Univerisity,A.M Statistics, PhD (F18),Other , Other,21 Apr 2018,,,,,,?,21 Apr 2018,"anyone still waiting for McGill? My status is ""in review"" for 5 months..........I sent them 3 emails to ask about it but no one replies me."
Cornell  University,"Statistics, MPS", Masters (F18),Other , Other,21 Apr 2018,,,,,,O,21 Apr 2018,"To the poster below, I sent two emails to Cornell and they said there were no update for the status...I accepted other offer though"
